2021 super output area - lower layer,Total: All usual residents,,Very good health,,Good health,,Fair health,,Bad health,,Very bad health,
,number,%,number,%,number,%,number,%,number,%,number,%
E01011654 : Leeds 024D,"1,470",100,917,62.4,434,29.5,95,6.5,22,1.5,2,0.1
E01011505 : Leeds 025A,"1,699",100,815,48,575,33.8,215,12.7,75,4.4,19,1.1
E01011506 : Leeds 025B,"1,539",100,775,50.4,546,35.5,159,10.3,46,3,13,0.8
E01011507 : Leeds 025C,"1,655",100,882,53.3,546,33,165,10,52,3.1,10,0.6
E01011510 : Leeds 025D,"1,528",100,569,37.2,468,30.6,319,20.9,137,9,35,2.3
E01011514 : Leeds 025E,"1,783",100,934,52.4,620,34.8,183,10.3,31,1.7,15,0.8
E01011452 : Leeds 027A,"1,652",100,"1,000",60.5,481,29.1,146,8.8,22,1.3,3,0.2
E01011454 : Leeds 027B,"1,608",100,983,61.1,503,31.3,101,6.3,15,0.9,6,0.4
E01011457 : Leeds 027C,"1,630",100,945,58,460,28.2,167,10.2,45,2.8,13,0.8
E01011458 : Leeds 027D,"2,678",100,"1,715",64,736,27.5,175,6.5,40,1.5,12,0.4
E01011465 : Leeds 027E,"1,749",100,912,52.1,538,30.8,204,11.7,75,4.3,20,1.1
E01011453 : Leeds 028A,"1,566",100,814,52,526,33.6,170,10.9,47,3,9,0.6
E01011460 : Leeds 028B,"1,539",100,806,52.4,509,33.1,151,9.8,60,3.9,13,0.8
E01011462 : Leeds 028C,"1,728",100,822,47.6,557,32.2,246,14.2,65,3.8,38,2.2
E01011463 : Leeds 028D,"1,692",100,741,43.8,573,33.9,273,16.1,75,4.4,30,1.8
E01011464 : Leeds 028E,"1,810",100,972,53.7,591,32.7,191,10.6,48,2.7,8,0.4
E01011714 : Leeds 029A,"1,947",100,"1,015",52.1,660,33.9,206,10.6,48,2.5,18,0.9
E01011716 : Leeds 029B,"1,584",100,814,51.4,539,34,166,10.5,46,2.9,19,1.2
E01011717 : Leeds 029C,"1,622",100,753,46.4,536,33,226,13.9,85,5.2,22,1.4
E01011718 : Leeds 029D,"1,976",100,927,46.9,672,34,253,12.8,94,4.8,30,1.5
E01011720 : Leeds 029E,"1,507",100,623,41.3,503,33.4,249,16.5,99,6.6,33,2.2
E01011296 : Leeds 030A,"1,625",100,733,45.1,569,35,235,14.5,71,4.4,17,1
E01011297 : Leeds 030B,"1,724",100,974,56.5,528,30.6,169,9.8,35,2,18,1
E01011309 : Leeds 030C,"1,504",100,733,48.7,515,34.2,198,13.2,45,3,13,0.9
E01011310 : Leeds 030D,"1,628",100,904,55.5,487,29.9,169,10.4,48,2.9,20,1.2
E01011513 : Leeds 031A,"2,235",100,"1,323",59.2,631,28.2,207,9.3,62,2.8,12,0.5
E01011688 : Leeds 031B,"1,519",100,797,52.5,481,31.7,169,11.1,55,3.6,17,1.1
E01011689 : Leeds 031C,"1,612",100,809,50.2,541,33.6,181,11.2,63,3.9,18,1.1
E01011691 : Leeds 031D,"1,500",100,675,45,499,33.3,199,13.3,92,6.1,35,2.3
E01011504 : Leeds 032A,"1,564",100,712,45.5,474,30.3,246,15.7,105,6.7,27,1.7
E01011641 : Leeds 032B,"1,612",100,958,59.4,504,31.3,122,7.6,20,1.2,8,0.5
E01011642 : Leeds 032C,"1,381",100,782,56.6,420,30.4,129,9.3,40,2.9,10,0.7
E01011645 : Leeds 032D,"1,509",100,846,56.1,469,31.1,139,9.2,43,2.8,12,0.8
E01011484 : Leeds 033A,"1,599",100,700,43.8,512,32,237,14.8,121,7.6,29,1.8
E01011485 : Leeds 033B,"1,628",100,760,46.7,506,31.1,247,15.2,90,5.5,25,1.5
E01011686 : Leeds 033E,"1,541",100,606,39.3,494,32.1,279,18.1,130,8.4,32,2.1
E01032493 : Leeds 033F,"1,364",100,635,46.6,541,39.7,142,10.4,37,2.7,9,0.7
E01032494 : Leeds 033G,"1,909",100,844,44.2,650,34,283,14.8,110,5.8,22,1.2
E01011350 : Leeds 034A,"1,535",100,802,52.2,535,34.9,161,10.5,27,1.8,10,0.7
E01011351 : Leeds 034B,"1,714",100,915,53.4,566,33,161,9.4,53,3.1,19,1.1
E01011352 : Leeds 034C,"1,853",100,976,52.7,564,30.4,233,12.6,63,3.4,17,0.9
E01011353 : Leeds 034D,"1,935",100,"1,122",58,593,30.6,168,8.7,39,2,13,0.7
E01011656 : Leeds 035A,"1,521",100,732,48.1,442,29.1,215,14.1,86,5.7,46,3
E01011657 : Leeds 035B,"1,283",100,519,40.5,393,30.6,235,18.3,111,8.7,25,1.9
E01011659 : Leeds 035C,"1,461",100,623,42.6,480,32.9,233,15.9,95,6.5,30,2.1
E01011661 : Leeds 035D,"1,707",100,566,33.2,482,28.2,401,23.5,205,12,53,3.1
E01011643 : Leeds 037A,"1,521",100,830,54.6,420,27.6,173,11.4,69,4.5,29,1.9
E01011644 : Leeds 037B,"1,339",100,707,52.8,415,31,142,10.6,53,4,22,1.6
E01011646 : Leeds 037C,"1,802",100,893,49.6,604,33.5,229,12.7,61,3.4,15,0.8
E01011647 : Leeds 037D,"1,880",100,893,47.5,697,37.1,201,10.7,76,4,13,0.7
E01011648 : Leeds 037E,"1,859",100,964,51.9,625,33.6,210,11.3,47,2.5,13,0.7
E01011354 : Leeds 038A,"1,576",100,771,48.9,471,29.9,211,13.4,99,6.3,24,1.5
E01011355 : Leeds 038B,"1,491",100,677,45.4,505,33.9,215,14.4,69,4.6,25,1.7
E01011357 : Leeds 038C,"2,055",100,953,46.4,645,31.4,304,14.8,125,6.1,28,1.4
E01011450 : Leeds 038D,"1,301",100,578,44.4,399,30.7,188,14.5,104,8,32,2.5
E01011588 : Leeds 039A,"1,775",100,"1,005",56.6,531,29.9,164,9.2,66,3.7,9,0.5
E01011589 : Leeds 039B,"1,596",100,934,58.5,469,29.4,142,8.9,36,2.3,15,0.9
E01011590 : Leeds 039C,"1,698",100,918,54.1,533,31.4,170,10,51,3,26,1.5
E01011592 : Leeds 039D,"1,612",100,834,51.7,516,32,196,12.2,57,3.5,9,0.6
E01011593 : Leeds 039E,"1,969",100,"1,067",54.2,642,32.6,205,10.4,43,2.2,12,0.6
E01011421 : Leeds 040A,"1,526",100,665,43.6,539,35.3,212,13.9,87,5.7,23,1.5
E01011425 : Leeds 040B,"1,551",100,748,48.2,543,35,175,11.3,67,4.3,18,1.2
E01011658 : Leeds 040C,"1,708",100,767,44.9,541,31.7,249,14.6,114,6.7,37,2.2
E01011660 : Leeds 040D,"1,827",100,856,46.9,614,33.6,243,13.3,94,5.1,20,1.1
E01011662 : Leeds 040E,"1,366",100,639,46.8,410,30,217,15.9,78,5.7,22,1.6
E01011721 : Leeds 041A,"1,565",100,685,43.8,541,34.6,247,15.8,74,4.7,18,1.2
E01011722 : Leeds 041B,"2,115",100,"1,018",48.1,697,33,292,13.8,80,3.8,28,1.3
E01011723 : Leeds 041C,"1,715",100,752,43.8,584,34.1,257,15,91,5.3,31,1.8
E01011724 : Leeds 041D,"1,870",100,780,41.7,658,35.2,287,15.3,110,5.9,35,1.9
