2021 super output area - lower layer,Total: All usual residents,,Very good health,,Good health,,Fair health,,Bad health,,Very bad health,
,number,%,number,%,number,%,number,%,number,%,number,%
E01011540 : Leeds 102B,"2,016",100,989,49.1,653,32.4,246,12.2,93,4.6,35,1.7
E01032489 : Leeds 102F,"2,115",100,"1,050",49.6,741,35,240,11.3,68,3.2,16,0.8
E01032490 : Leeds 102G,"1,396",100,720,51.6,482,34.5,149,10.7,27,1.9,18,1.3
E01032491 : Leeds 102H,"1,197",100,656,54.8,391,32.7,125,10.4,19,1.6,6,0.5
E01032492 : Leeds 102I,"2,104",100,888,42.2,769,36.5,306,14.5,114,5.4,27,1.3
E01011307 : Leeds 103A,"1,602",100,648,40.4,598,37.3,252,15.7,89,5.6,15,0.9
E01011308 : Leeds 103B,"1,496",100,686,45.9,516,34.5,219,14.6,67,4.5,8,0.5
E01011393 : Leeds 103C,"2,201",100,"1,230",55.9,638,29,230,10.4,73,3.3,30,1.4
E01011394 : Leeds 103D,"1,158",100,540,46.6,384,33.2,160,13.8,57,4.9,17,1.5
E01011395 : Leeds 103E,"1,198",100,656,54.8,372,31.1,112,9.3,48,4,10,0.8
E01011533 : Leeds 104A,"1,387",100,628,45.3,469,33.8,206,14.9,65,4.7,19,1.4
E01011541 : Leeds 104B,"2,036",100,757,37.2,740,36.3,369,18.1,128,6.3,42,2.1
E01011545 : Leeds 104C,"1,359",100,586,43.1,516,38,190,14,56,4.1,11,0.8
E01011547 : Leeds 104D,"1,992",100,881,44.2,724,36.3,263,13.2,90,4.5,34,1.7
E01011500 : Leeds 105D,"1,577",100,714,45.3,562,35.6,233,14.8,49,3.1,19,1.2
E01032496 : Leeds 105F,"2,200",100,"1,109",50.4,745,33.9,238,10.8,91,4.1,17,0.8
E01035050 : Leeds 105G,"1,619",100,884,54.6,531,32.8,147,9.1,48,3,9,0.6
E01035051 : Leeds 105H,"1,610",100,929,57.7,502,31.2,136,8.4,33,2,10,0.6
E01035052 : Leeds 105I,"1,454",100,720,49.5,481,33.1,178,12.2,58,4,17,1.2
E01035053 : Leeds 105J,"1,733",100,"1,016",58.6,523,30.2,135,7.8,48,2.8,11,0.6
E01011530 : Leeds 106A,"1,365",100,646,47.3,480,35.2,172,12.6,60,4.4,7,0.5
E01011534 : Leeds 106B,"2,360",100,"1,349",57.2,752,31.9,185,7.8,64,2.7,10,0.4
E01011546 : Leeds 106C,"1,723",100,775,45,616,35.8,230,13.3,79,4.6,23,1.3
E01011548 : Leeds 106D,"1,507",100,738,49,524,34.8,176,11.7,57,3.8,12,0.8
E01011550 : Leeds 106E,"1,354",100,686,50.7,437,32.3,193,14.3,32,2.4,6,0.4
E01011537 : Leeds 107A,"2,047",100,898,43.9,710,34.7,318,15.5,94,4.6,27,1.3
E01011538 : Leeds 107B,"1,585",100,680,42.9,531,33.5,238,15,89,5.6,47,3
E01011551 : Leeds 107C,"1,756",100,942,53.6,603,34.3,136,7.7,61,3.5,14,0.8
E01011552 : Leeds 107D,"1,523",100,697,45.8,472,31,237,15.6,86,5.6,31,2
E01011535 : Leeds 108A,"1,717",100,882,51.4,582,33.9,188,10.9,52,3,13,0.8
E01011536 : Leeds 108B,"1,653",100,815,49.3,575,34.8,197,11.9,56,3.4,10,0.6
E01011549 : Leeds 108C,"1,428",100,782,54.8,497,34.8,116,8.1,26,1.8,7,0.5
E01011553 : Leeds 108D,"1,380",100,658,47.7,477,34.6,178,12.9,54,3.9,13,0.9
E01011685 : Leeds 109A,"2,215",100,"1,344",60.7,676,30.5,162,7.3,27,1.2,6,0.3
E01011687 : Leeds 109B,"1,527",100,797,52.2,525,34.4,149,9.8,49,3.2,7,0.5
E01011690 : Leeds 109C,"1,362",100,691,50.7,458,33.6,165,12.1,40,2.9,8,0.6
E01011692 : Leeds 109D,"1,503",100,846,56.3,473,31.5,139,9.2,37,2.5,8,0.5
E01011693 : Leeds 109E,"1,513",100,801,52.9,511,33.8,168,11.1,23,1.5,10,0.7
E01011694 : Leeds 109F,"1,854",100,"1,026",55.3,604,32.6,171,9.2,42,2.3,11,0.6
E01032876 : Leeds 109G,"1,876",100,"1,140",60.8,566,30.2,133,7.1,32,1.7,5,0.3
E01011442 : Leeds 110A,"1,875",100,"1,082",57.7,604,32.2,159,8.5,27,1.4,3,0.2
E01011443 : Leeds 110B,"1,881",100,"1,083",57.6,618,32.9,144,7.7,28,1.5,8,0.4
E01011444 : Leeds 110C,"1,992",100,"1,192",59.8,625,31.4,129,6.5,40,2,6,0.3
E01011451 : Leeds 110D,"1,553",100,800,51.5,523,33.7,177,11.4,44,2.8,9,0.6
E01011668 : Leeds 110E,"1,705",100,914,53.6,583,34.2,144,8.4,48,2.8,16,0.9
E01011669 : Leeds 110F,"1,483",100,801,54,517,34.9,127,8.6,31,2.1,7,0.5
