lsoa11,ahah,ahah_rnk,ahah_pct,h,gp,dent,phar,hosp
E01009667,18.69709822,18327,44,-0.05589447,2.6366,2.1118,1.8143,5.1428
E01009668,17.64415009,15929,39,0.154469539,1.1225,5.3395,2.688,7.5079
E01009669,18.92577977,18855,46,0.0871063,2.6565,4.9583,1.14,6.8119
E01009670,16.49572562,13165,32,0.174465599,2.9025,3.7335,1.8085,6.5403
E01009671,17.08567422,14569,35,0.876143293,9.8119,8.5974,5.8425,6.455
E01009672,14.97677653,9559,23,0.471797048,4.9165,4.815,2.5612,7.5055
E01009674,20.48643729,22267,54,0.104005964,3.195,3.02755,3.07715,3.14605
E01009676,28.03363312,33348,80,-0.106484816,2.8941,3.1735,2.0525,2.8671
E01009679,14.40209487,8295,20,-1.160440315,0.945,1.1825,0.945,0.945
E01009681,29.73415024,34885,84,-0.873155543,1.0425,2.97375,0.99405,1.09
E01009682,30.34184284,35330,85,-0.649593751,1.5975,2.8275,1.0931,1.5975
E01009683,28.90977593,34170,82,-0.317888453,2.4681,3.9206,1.165,2.4681
E01009684,33.00341916,37014,89,-0.177926644,3.6185,1.8425,1.74,3.6185
E01009685,31.51071939,36142,87,0.102814539,4.102,2.2742,2.8386,4.5735
E01009686,31.19329423,35937,87,-0.003097701,3.3068,3.729033333,2.6275,3.3068
E01009687,35.84316642,38395,93,-0.048468274,3.132,1.8742,2.4396,4.3963
E01009688,38.53060597,39371,95,-1.049229876,1.332,0.5525,0.8604,2.6791
E01009689,39.575599,39667,96,-1.169816844,0.925,0.8833,0.735,1.89755
E01009690,38.09453802,39213,94,-1.132554922,0.8758,1.1158,0.8645,1.4261
E01009691,39.34300528,39594,95,-1.074358009,0.6625,1.1908,1.24,1.544
E01009692,36.74402045,38722,93,0.326683739,6.13725,2.44375,2.70125,6.13725
E01009693,36.05332014,38464,93,-0.010665271,5.079,1.502,1.7595,5.079
E01009694,33.51275985,37290,90,-0.326904229,4.971,0.8975,1.0085,4.971
E01009695,25.59448706,30799,74,-0.071421076,3.21225,1.839,2.5065,3.35275
E01009696,29.66525753,34836,84,-0.124138536,2.9585,1.83,1.93,3.4435
E01009697,34.41881549,37751,91,0.789360655,5.9045,7.128,4.08,8.183
E01009698,31.88785451,36381,88,0.214983071,1.55775,4.2875,3.865,4.55175
E01009699,24.51950019,29285,71,-0.301253199,2.1965,1.6875,2.0645,2.3625
E01009700,20.93733682,23194,56,-0.668706126,0.9275,1.6525,1.675,1.6525
