LSOA21CD,ah4blue,ah4dent,ah4gp,ah4hosp,ah4phar
S01009740,3.5278,14.0886,2.5829,16.7775,0.9407
S01009741,4.1995,14.7603,2.5471,17.4492,1.5345
S01009742,2.2901,6.9976,6.3216,10.3404,5.4747
S01009743,7.5961,17.0513,17.1965,21.8683,17.1965
S01009744,9.0941,13.2221,3.5626,16.1877,9.147
S01009745,8.9419,13.2662,1.6992,15.5496,9.3211
S01009746,7.4721,15.6509,13.3285,15.6209,14.8772
S01009747,0.3036,6.895,6.6848,9.5943,0.7033
S01009748,1.1038,5.9605,5.7503,8.6598,1.1168
S01009749,1.02,7.0056,6.7954,9.7049,0.9067
S01009750,1.3028,7.5328,7.3226,10.2321,1.2516
S01009751,1.1404,7.9438,7.7336,10.6431,1.6626
S01009752,0.7485,2.9596,2.9777,7.4045,2.9777
S01009753,0.3966,1.341,1.4862,6.1579,1.4862
S01009754,0.7023,0.8494,0.9111,5.5573,0.9111
S01009755,0.6347,1.093,1.5999,5.8751,1.5999
S01009756,0.6572,4.5454,4.6906,9.3624,4.6906
S01009757,0.8067,5.8798,6.025,10.6968,6.025
S01009758,3.8925,2.1606,2.6856,5.8631,2.0697
S01009759,4.7274,1.1062,1.9498,5.7874,1.1062
S01009760,3.9421,1.4736,2.3883,5.3929,1.3827
S01009761,4.0876,1.4027,2.7578,5.2206,1.3118
S01009762,4.344,0.5067,2.2554,5.3616,0.5067
S01009763,4.429,2.7782,3.3032,6.4807,2.2839
S01009764,4.3626,1.9949,2.5101,4.8575,1.0654
S01009765,4.7893,2.4216,2.9368,5.2843,1.4922
S01009766,4.93,1.8284,2.3263,4.6924,1.6283
S01009767,4.9299,2.498,3.338,5.6557,1.7682
S01009768,5.3675,1.5924,2.8883,4.3318,1.4956
S01009769,5.0293,1.9302,2.5501,4.6696,1.6989
S01009770,4.86,2.2935,2.7297,5.0771,1.6315
S01009771,4.3738,2.2087,2.9012,5.2486,1.2777
S01009772,5.5228,2.4922,3.0437,5.2316,2.221
S01009773,6.1715,2.6996,3.6924,5.439,2.6028
S01009774,6.52,3.048,4.0409,5.7875,2.9512
S01009775,3.2277,1.6748,1.6748,4.5484,1.6748
S01009776,4.9303,1.0373,3.0973,3.5976,1.2506
S01009777,4.5592,1.7568,2.0113,4.4997,1.7947
S01009778,4.5399,1.2429,2.2523,3.9824,1.3316
S01009779,4.509,0.5265,2.5562,3.1763,0.7174
S01009780,4.4944,1.9465,1.9465,5.1691,1.9465
S01009781,3.9044,1.3565,1.3565,4.4648,1.3565
S01009782,4.8972,2.3493,2.3493,5.5323,2.3493
S01009783,4.8188,2.2404,2.2709,5.036,2.2709
S01009784,4.5133,1.5268,2.0719,4.1033,1.5788
S01009785,4.4444,1.0668,2.0644,3.6938,1.2028
S01009786,3.0167,0.9631,1.215,3.6922,1.215
S01009787,2.7977,0.6631,0.6631,4.1614,0.6631
S01009788,1.6233,1.9426,1.388,4.9931,1.3642
S01009789,2.0714,1.5894,1.4166,4.6221,1.4081
S01009790,2.3471,2.1645,1.379,4.978,1.4332
S01009791,2.9551,2.1422,1.6767,4.6448,1.6719
S01009792,5.5688,2.6574,1.865,2.1005,1.865
S01009793,4.2594,1.2181,2.4201,3.5737,2.1152
S01009794,5.2857,2.0472,0.7418,2.3157,0.7418
S01009795,4.8012,1.5627,1.3839,2.8595,1.3839
S01009796,5.2358,1.9972,1.312,2.3618,1.312
S01009797,4.0673,0.6854,2.0323,3.0345,1.6914
S01009798,4.5906,1.3521,1.7643,3.1511,1.7643
S01009799,2.4987,2.8161,1.1204,4.6702,1.2242
S01009800,3.8869,3.7665,2.2654,3.5686,1.1996
S01009801,2.7404,2.895,1.1896,4.5708,1.2484
S01009802,4.239,4.0403,2.5441,3.12,1.0114
S01009803,4.6625,2.6081,2.1285,1.8582,2.1285
S01009804,5.6899,3.2301,2.4377,1.6046,2.4377
S01009805,4.7895,2.3672,1.8066,1.9944,1.8066
S01009806,3.864,0.8613,1.2072,3.4588,0.7665
S01009807,4.2899,0.7977,0.9417,4.1734,0.9823
S01009808,4.5913,1.1324,1.3925,4.5434,1.6078
S01009809,4.2553,0.6305,1.2171,4.3587,1.3449
S01009810,3.0241,1.5518,1.5754,3.5947,1.5588
S01009811,3.3524,1.1787,1.4408,3.8182,1.4404
S01009812,4.0071,0.583,0.8785,3.9035,0.8785
S01009813,3.4297,1.4003,0.936,3.4759,0.9259
S01009814,3.2042,0.8379,1.0648,3.0159,0.7109
S01009815,4.1599,0.6691,1.2541,3.8922,1.0546
S01009816,4.0525,0.9019,1.5448,3.8685,1.0937
S01009817,3.9159,1.7637,2.6271,2.2823,1.592
S01009818,3.5674,1.2221,2.0633,2.8208,1.0504
S01009819,3.5063,0.6787,1.4311,3.3089,0.5517
S01009820,3.4657,0.8149,1.8445,3.1318,0.6939
S01009821,3.6718,0.4418,1.1287,3.4878,0.7188
S01009822,4.3725,2.8286,2.5282,4.7968,2.5282
S01009823,4.5693,3.0383,2.7378,5.0064,2.7378
S01009824,4.6824,2.5854,2.2849,4.5535,2.2849
S01009825,4.1238,1.9716,1.6711,3.9397,1.6711
S01009826,3.6118,1.4596,1.6215,3.4278,1.2879
S01009827,4.2374,2.0851,2.1396,4.2267,1.8711
S01009828,3.5617,1.1912,1.6233,3.3776,0.9981
S01009829,3.9602,1.6109,1.2838,3.7761,1.2838
S01009830,3.9675,1.2399,1.1075,4.3951,1.1075
S01009831,4.2196,0.9721,0.6465,4.1701,0.6465
S01009832,3.7204,0.8758,0.9833,3.5363,0.7539
S01009833,2.0348,2.9018,3.1202,3.5734,3.1375
S01009834,2.4493,2.029,2.3281,3.5337,2.0686
S01009835,2.5474,2.0325,2.3521,3.318,1.8582
S01009836,2.0942,2.0752,2.5358,3.6367,2.4668
S01009837,2.7688,2.2566,2.7743,3.7049,2.2804
S01009838,2.1051,0.7357,1.2649,3.1698,1.3136
S01009839,1.6521,0.8769,1.2388,2.7169,1.2876
S01009840,2.665,1.1567,1.1567,3.3842,0.6853
S01009841,2.5563,0.9458,0.9458,3.6245,0.6541
S01009842,2.9112,1.828,1.7751,3.2027,0.9963
S01009843,2.3807,1.9113,1.8859,3.1826,1.2958
S01009844,1.0144,0.9297,2.4958,3.5466,0.6946
S01009845,0.8446,0.9978,2.3312,3.6217,0.7626
S01009846,1.8245,1.2674,1.4115,3.739,0.9235
S01009847,1.1749,1.2277,1.851,2.5758,1.3943
S01009848,3.016,1.8308,1.7644,2.9709,1.2878
S01009849,2.9432,1.872,1.3772,2.302,0.4664
S01009850,3.3841,1.6977,1.6035,2.7429,0.9073
S01009851,3.3006,2.0551,1.702,2.9944,1.0869
S01009852,3.4752,0.8534,2.7578,3.6826,0.6057
S01009853,4.6856,1.4062,3.2348,4.2479,1.503
S01009854,3.3305,2.3053,1.9678,4.9245,1.899
S01009855,4.1607,0.8837,3.2616,4.2177,0.884
S01009856,3.4335,1.7285,1.8119,2.7923,0.9568
S01009857,4.0567,1.4055,2.489,3.5505,1.286
S01009858,4.2868,1.5962,2.5539,3.6944,1.7014
S01009859,0.8565,1.4476,2.1786,2.1846,1.5108
S01009860,0.8118,0.7659,2.7545,3.0854,0.7947
S01009861,1.7188,1.765,1.6241,1.8365,1.1651
S01009862,0.906,1.5015,1.2743,1.2732,0.978
S01009863,1.6577,0.5932,0.5082,0.7414,0.5932
S01009864,2.3565,1.3893,0.6495,1.5743,0.8854
S01009865,1.897,1.106,0.7409,1.291,0.6434
S01009866,1.4186,0.973,1.1405,1.732,0.8607
S01009867,1.2742,1.6537,0.7762,2.4834,0.7655
S01009868,1.7248,0.8767,1.1166,1.7285,0.9184
S01009869,1.5488,0.5186,1.2224,1.171,0.5529
S01009870,1.8768,0.8273,0.4486,0.7456,0.8273
S01009871,2.6493,2.4727,1.7063,3.3877,1.6985
S01009872,2.0913,0.9502,0.945,1.4169,0.8439
S01009873,2.948,2.239,1.4992,2.424,1.9274
S01009874,3.032,2.1976,1.7469,2.6716,1.9457
S01009875,2.955,0.8136,0.7765,3.9082,0.7883
S01009876,3.2187,1.3336,1.3115,4.1644,1.3567
S01009877,3.9819,1.426,1.3537,4.2073,1.408
S01009878,3.2793,0.6623,0.6572,3.7909,0.5683
S01009879,3.9941,2.9522,2.7367,3.9505,2.842
S01009880,4.1706,3.0043,2.7842,3.9507,2.8604
S01009881,3.3582,0.8217,1.2249,3.6275,0.7404
S01009882,2.8995,0.6969,1.0183,2.8193,1.1008
S01009883,3.3543,0.8312,1.1522,3.3988,0.6359
S01009884,3.0906,0.6008,0.7706,3.0175,0.7438
S01009885,3.313,0.4873,0.5115,3.2676,0.4113
S01009886,3.594,0.771,0.8884,3.5776,0.7043
S01009887,2.9224,0.5392,0.5392,2.668,0.5392
S01009888,3.2143,0.7582,0.8851,2.6556,0.8851
S01009889,3.0128,0.6895,0.6895,2.7412,0.6634
S01009890,2.8168,0.4546,0.4546,2.6191,0.4347
S01009891,3.0408,0.3403,0.9336,2.5224,0.8976
S01009892,2.5529,0.9132,0.7315,2.3552,0.84
S01009893,3.1439,0.3677,0.8697,2.3719,0.8153
S01009894,2.896,0.9241,1.0107,2.8969,0.7389
S01009895,2.786,1.0182,1.0792,2.608,1.0204
S01009896,2.5077,1.1657,1.1502,2.3199,1.0925
S01009897,2.7233,1.2154,1.3291,2.8867,0.9415
S01009898,2.4599,1.3458,1.3538,3.0976,1.2421
S01009899,0.2222,1.1073,1.0112,1.3104,0.988
S01009900,0.4943,0.8916,0.7674,1.0684,0.7365
S01009901,0.8227,0.5473,0.5452,0.8439,0.511
S01009902,2.5168,1.4294,1.669,2.3085,1.3193
S01009903,3.0084,0.7476,0.7493,2.6873,0.7493
S01009904,1.0763,1.0531,0.7023,0.8358,0.6179
S01009905,3.2977,0.5219,1.1131,2.6646,1.0977
S01009906,3.0567,0.3724,0.9536,2.5537,0.4541
S01009907,2.8621,0.3673,0.759,2.4593,0.5976
S01009908,2.5627,0.6131,0.5676,2.6253,0.6875
S01009909,2.5487,0.4635,0.5096,2.25,0.5146
S01009910,2.7938,0.7268,0.8387,2.0032,0.9184
S01009911,2.2235,0.7206,0.8815,2.8243,0.9996
S01009912,3.4475,0.9335,0.8956,3.6774,0.8634
S01009913,2.7564,2.8126,2.6259,3.469,2.6514
S01009914,2.9237,2.5214,2.6882,3.1559,2.66
S01009915,2.9659,1.219,1.3985,3.3274,1.2911
S01009916,2.3389,1.8679,1.7827,2.5711,1.7708
S01009917,1.6519,1.0345,0.6721,1.9737,1.2246
S01009918,1.3858,0.7727,0.619,1.4439,1.2371
S01009919,1.2145,0.5313,0.7357,2.2095,0.5281
S01009920,1.7957,0.8508,0.9496,2.4061,0.7036
S01009921,1.7313,0.7517,0.8395,2.3327,0.6167
S01009922,0.5326,0.4498,0.5174,1.5226,0.549
S01009923,1.6801,1.2213,1.3073,2.2545,1.1026
S01009924,1.2425,0.654,0.8397,2.1682,0.6608
S01009925,0.8268,0.6102,0.4978,2.174,0.5014
S01009926,0.7029,0.6268,0.5744,1.9912,0.4734
S01009927,1.5,1.7688,1.8538,2.8705,1.7174
S01009928,1.4847,1.981,1.6709,1.8108,1.5228
S01009929,0.848,1.4115,1.1021,1.242,0.9539
S01009930,0.4372,1.2385,1.0901,1.23,0.942
S01009931,1.1106,0.899,0.8686,2.4737,0.8476
S01009932,0.1877,0.6206,0.9221,1.9265,0.6433
S01009933,0.3574,0.5437,0.7421,1.1733,0.6088
S01009934,0.549,1.0243,1.3258,1.9394,0.7579
S01009935,0.5767,1.0673,0.948,0.9635,1.0118
S01009936,1.1999,0.5596,0.8626,1.082,1.039
S01009937,0.7065,1.9045,1.6353,1.6353,1.6318
S01009938,1.2418,2.1844,2.1579,2.1579,1.8666
S01009939,4.2231,2.0927,2.0986,5.5241,0.5546
S01009940,4.1844,1.279,1.3875,5.1646,0.9621
S01009941,3.904,1.7504,2.0672,4.8201,1.7504
S01009942,3.1633,0.9394,1.66,4.0794,1.0146
S01009943,3.7765,0.8291,0.9769,4.6927,0.8291
S01009944,2.6599,1.3848,3.2779,3.576,1.6856
S01009945,2.4817,2.3373,2.9957,3.3979,1.1156
S01009946,1.9261,2.2465,2.8422,2.8422,0.9305
S01009947,2.7838,1.8003,3.1417,3.7,1.8727
S01009948,2.2974,2.1576,3.1659,3.2135,2.0522
S01009949,1.2608,1.7141,2.1362,2.158,1.8763
S01009950,2.4178,1.0682,2.8021,3.3696,1.369
S01009951,1.9121,1.5948,2.4105,2.9421,1.8895
S01009952,0.8766,1.2397,1.5669,1.8293,1.3233
S01009953,2.163,0.898,2.6787,3.0662,1.1988
S01009954,1.9294,1.8656,2.7878,2.8456,1.5748
S01009955,0.9596,1.099,1.7408,2.8177,1.3239
S01009956,1.5598,1.5433,2.1627,3.3916,1.6894
S01009957,0.9696,1.8291,2.2616,2.7798,2.0092
S01009958,0.6576,1.3477,1.9807,3.0671,1.7408
S01009959,2.2595,1.5764,2.1855,4.1387,1.3135
S01009960,1.4874,0.7148,1.2869,3.3454,0.7148
S01009961,1.4427,1.0062,1.5783,3.3007,1.0256
S01009962,1.362,0.6877,1.2598,3.3184,0.547
S01009963,0.6916,1.1377,1.6066,3.1971,1.0594
S01009964,0.5716,0.6662,1.0421,2.5998,0.6064
S01009965,1.3766,1.3159,1.8737,4.138,1.2603
S01009966,1.1115,1.4795,2.0664,3.6971,1.1734
S01009967,0.523,1.3861,2.0239,3.1166,1.5984
S01009968,1.5505,1.0318,1.6071,3.8701,0.7306
S01009969,2.3172,4.037,4.415,7.348,1.0489
S01009970,2.3252,1.178,1.7358,4.965,1.1224
S01009971,2.8105,2.2115,2.5894,6.0483,2.0496
S01009972,2.6162,3.1902,3.3202,7.0775,1.6706
S01009973,3.372,2.5887,2.9472,6.4255,2.4268
S01009974,3.166,1.8272,2.1055,5.664,1.6653
S01009975,4.0019,2.5322,2.5993,6.7517,2.4038
S01009976,4.481,1.759,1.759,6.7605,1.759
S01009977,3.7659,1.9205,2.0282,6.2639,1.7586
S01009978,4.8918,3.0958,3.0958,7.3378,2.4316
S01009979,4.5715,2.4962,2.4962,7.1486,2.248
S01009980,3.7405,1.2591,1.2591,5.9009,1.0128
S01009981,4.4324,1.9871,2.0497,6.6589,2.0497
S01009982,3.5854,2.0067,3.0291,5.9602,1.0729
S01009983,3.6594,2.8733,3.1061,6.0342,1.1279
S01009984,3.5386,2.6396,2.9274,5.9134,1.0072
S01009985,4.0722,2.8887,2.8887,6.447,1.5408
S01009986,3.5747,1.3812,1.43,5.6566,1.2732
S01009987,3.501,1.5936,1.6218,5.6507,1.3725
S01009988,2.9409,0.8802,0.8802,5.0228,1.0394
S01009989,2.5195,0.6601,0.8321,4.5926,0.632
S01009990,3.051,1.2961,1.5945,5.01,1.1567
S01009991,3.6513,1.379,2.2915,5.5324,1.477
S01009992,3.6398,1.4167,1.6929,5.7463,1.5054
S01009993,2.9701,1.7372,2.1527,4.3747,1.703
S01009994,3.1139,1.5185,1.934,4.7049,1.4843
S01009995,3.0136,2.1923,2.5253,4.4181,2.2338
S01009996,3.5803,1.4958,2.7791,5.1434,1.6525
S01009997,3.1631,1.7923,2.0559,4.5489,1.949
S01009998,1.3207,1.5347,1.8754,2.8105,1.8284
S01009999,2.3455,1.319,1.5418,3.3741,1.2531
S01010000,3.0224,1.5115,1.987,3.7989,1.4456
S01010001,3.0183,0.8368,1.3276,4.0025,0.7709
S01010002,2.594,1.9177,2.0011,3.0274,1.8518
S01010003,2.1319,1.7545,1.7288,2.9255,1.7553
S01010004,1.2233,1.502,1.6385,2.0447,1.5722
S01010005,0.4999,0.9472,1.3788,1.7353,1.2443
S01010006,0.568,1.0179,0.861,1.2065,0.8461
S01010007,1.1488,1.0236,1.2684,1.614,1.0939
S01010008,0.3935,0.5022,1.3052,1.9434,1.0806
S01010009,0.2997,0.5934,1.335,2.3715,1.0951
S01010010,0.8912,1.3635,2.0794,2.6404,1.6335
S01010011,1.2507,0.7226,1.1158,1.4613,0.7671
S01010012,1.9294,1.6066,1.7896,2.3683,1.6768
S01010013,1.5423,0.6755,1.4213,1.7719,0.7457
S01010014,1.7655,0.623,1.2499,1.6054,0.5906
S01010015,1.4494,0.4367,1.0376,1.3931,0.4267
S01010016,2.6792,1.4552,1.4707,4.2141,1.1278
S01010017,2.4141,2.0024,0.987,4.1901,0.987
S01010018,2.5855,2.3674,0.7784,3.5418,0.7784
S01010019,2.7726,2.5491,1.0608,3.6906,1.0608
S01010020,2.9724,1.8887,1.4589,3.2837,1.4589
S01010021,3.2974,2.9589,1.5693,3.7697,1.5435
S01010022,1.1787,2.8417,2.655,2.9444,2.9993
S01010023,0.5564,1.87,1.87,2.0631,1.8062
S01010024,0.4516,1.8317,1.7416,1.1512,0.5516
S01010025,0.6786,1.6329,1.762,0.9966,1.0029
S01010026,0.9685,1.693,1.693,1.1527,1.037
S01010027,1.1655,1.4103,1.4103,1.2775,0.9317
S01010028,0.9413,1.8995,1.8367,1.3781,1.1283
S01010029,1.2953,2.2555,2.2555,2.4945,2.1822
S01010030,1.5331,0.9167,0.9167,1.5598,0.8971
S01010031,0.9762,1.8427,0.9595,2.7999,0.9386
S01010032,0.9003,0.9682,1.706,1.9396,1.7905
S01010033,3.0766,1.1479,1.2151,2.9952,1.3741
S01010034,1.3612,1.2584,1.8697,1.5261,1.98
S01010035,0.8081,0.6623,1.7365,1.558,1.8715
S01010036,0.8777,1.2639,1.3008,2.3762,1.2799
S01010037,2.047,1.4357,0.9395,1.4959,1.2365
S01010038,1.8248,1.234,1.0247,1.7104,1.1316
S01010039,1.0285,0.6132,1.6585,1.63,0.7222
S01010040,1.412,0.8507,1.4126,1.6871,1.2562
S01010041,0.7457,0.7307,1.9919,1.34,0.7758
S01010042,1.3907,1.2494,0.9582,1.1686,0.9306
S01010043,1.5073,0.6046,0.7537,0.9561,0.6046
S01010044,1.3389,1.1878,1.2134,0.9146,1.1878
S01010045,1.5357,1.0947,1.1203,0.9522,1.0947
S01010046,0.874,1.9963,2.0208,1.9367,1.9963
S01010047,1.9228,1.2823,1.4797,1.0415,1.2823
S01010048,0.8915,1.5546,1.5546,2.4532,1.5546
S01010049,2.6388,1.1675,0.7563,2.9594,0.6291
S01010050,1.1201,0.8571,1.0255,2.9652,0.866
S01010051,1.819,0.6673,1.2067,3.4314,0.7365
S01010052,2.2677,0.8111,1.2237,3.491,0.6218
S01010053,2.0172,1.5398,1.6873,1.4504,1.5229
S01010054,2.3574,1.8305,1.8746,2.3158,1.8305
S01010055,2.3433,1.4761,0.9257,0.8467,0.9166
S01010056,3.5133,1.7857,1.5337,2.3674,1.3789
S01010057,3.3046,1.8654,1.3043,2.8518,1.3746
S01010058,2.3583,1.8548,1.1841,2.761,1.1928
S01010059,2.5821,1.8601,1.3492,2.0394,1.2299
S01010060,2.3713,1.2733,0.4894,2.8431,0.6146
S01010061,2.2945,0.6369,1.2815,2.0228,1.3237
S01010062,2.8402,1.1687,1.3372,1.2957,1.009
S01010063,2.1199,1.1341,0.9364,1.6575,0.7401
S01010064,2.0345,1.8061,1.5373,1.6962,1.0534
S01010065,1.6739,2.1003,1.8561,2.0586,1.4158
S01010066,1.9595,1.9021,1.4648,2.6865,1.5433
S01010067,1.8119,1.7981,1.6313,2.6889,1.6534
S01010068,1.5833,1.4107,1.1173,3.1385,1.1259
S01010069,2.1072,0.9159,1.5702,2.599,1.6124
S01010070,2.0302,1.4199,1.9168,2.9673,1.9589
S01010071,1.3084,3.154,3.1198,3.8474,1.2661
S01010072,2.7044,0.918,1.6093,1.7311,1.4243
S01010073,3.266,1.3363,2.0293,1.9772,1.4545
S01010074,2.4644,2.0404,2.6048,3.3674,1.9396
S01010075,0.9061,3.1086,3.673,4.4006,1.1265
S01010076,0.8836,2.8255,3.3899,4.1175,0.8707
S01010077,1.3636,2.3039,2.8683,3.5959,1.0156
S01010078,3.6434,2.5125,3.8947,5.3908,2.2733
S01010079,3.8368,3.0292,3.8764,4.7033,2.0708
S01010080,3.188,2.8244,3.5621,4.3464,2.4216
S01010081,4.2792,2.5287,3.4262,4.1617,1.5315
S01010082,2.7644,2.9067,3.6803,4.5117,2.5716
S01010083,4.9369,1.6995,1.6995,5.2602,1.6995
S01010084,4.6971,1.2687,1.2687,5.0189,1.2687
S01010085,5.291,1.7372,2.0526,4.4344,1.5915
S01010086,4.2937,0.8591,0.8591,4.7057,0.8591
