LSOA21CD,ah4blue,ah4dent,ah4gp,ah4hosp,ah4phar
E01000001,1.8048,0.6328,1.0316,0.9581,0.7487
E01000002,2.1041,0.623,1.3232,1.137,0.6849
E01000003,2.2753,0.5709,0.8562,0.7862,0.5919
E01000005,1.1553,0.8337,1.1078,0.8697,0.6657
E01000006,1.9055,1.9361,0.9587,1.5191,1.3641
E01000007,1.2534,1.0807,0.484,0.4713,1.0041
E01000008,0.457,2.1505,1.3022,1.6737,2.2334
E01000009,1.2205,1.3521,0.6974,0.9742,0.8524
E01000011,0.8287,1.3795,1.3196,1.2665,1.3795
E01000012,0.5889,1.0314,0.8311,0.8311,1.0314
E01000013,3.5028,1.1811,1.2845,1.4606,1.1085
E01000014,2.6206,2.1224,1.1151,1.2574,2.0499
E01000015,3.5235,1.8146,1.2976,1.8538,1.5476
E01000016,3.38,1.603,1.21,1.147,1.6003
E01000017,3.4027,1.5335,0.9724,0.8576,1.6859
E01000018,3.6099,1.7269,1.22,1.3765,1.2883
E01000019,0.9195,1.0727,1.2429,1.3594,1.11
E01000020,1.6811,1.4422,1.4173,0.8885,0.8908
E01000021,1.9945,1.2272,1.2676,1.0101,1.2676
E01000022,1.8236,1.2531,1.2935,1.0385,0.9147
E01000024,2.4142,0.9137,0.9541,1.3881,0.7476
E01000025,2.5242,0.9891,1.0295,1.6472,1.0295
E01000027,3.6388,1.4487,1.9504,1.4487,1.4487
E01000028,2.882,1.3175,1.7959,1.3175,1.3175
E01000029,3.3354,1.3802,1.7317,1.3802,1.7394
E01000030,3.39,0.9988,1.1166,0.9588,0.9988
E01000031,3.4778,0.555,1.2529,0.7871,0.9564
E01000032,3.7332,0.7552,1.6379,1.2886,0.7463
E01000033,2.0331,2.4792,1.1617,1.5931,2.0182
E01000034,2.3485,3.2375,1.4521,2.2133,2.8307
E01000035,2.3226,1.6223,1.4469,1.0803,1.3727
E01000036,2.0475,1.1919,1.0504,0.8189,0.9817
E01000037,3.2342,2.4871,1.3368,1.3368,2.3069
E01000038,3.3952,1.1387,1.1198,1.6173,0.9589
E01000039,1.9525,3.5531,2.054,2.054,3.3729
E01000040,2.4023,2.5455,1.1272,1.8536,0.7735
E01000041,1.6712,2.4843,1.9,1.8869,1.5769
E01000042,1.4891,3.3923,1.3623,1.0621,1.6761
E01000043,2.6838,2.8185,1.2694,2.2564,1.1195
E01000044,2.6182,2.2346,1.2452,1.9659,0.8593
E01000045,1.6234,2.9048,2.2685,2.2073,0.8997
E01000046,2.3666,2.2013,1.6286,1.5073,1.7018
E01000049,1.2602,1.7774,1.2834,1.5229,1.7708
E01000050,1.5921,1.2374,0.7028,0.9687,1.0705
E01000051,1.6027,1.27,1.0922,1.0013,1.1031
E01000052,1.8953,1.5117,0.2322,1.243,1.1878
E01000053,3.6464,1.9177,2.0107,1.1358,1.1471
E01000054,2.5282,1.5641,0.8544,1.591,1.1685
E01000055,2.6987,1.7817,1.1907,1.1959,1.4649
E01000056,3.1235,2.0641,1.3402,1.7757,1.6195
E01000057,2.3311,1.4524,1.0138,0.9914,1.1495
E01000058,2.851,1.6448,0.9514,1.9138,1.3037
E01000059,3.2124,1.5041,0.975,2.1888,1.6771
E01000060,2.2047,1.2078,1.7801,1.7486,1.6231
E01000061,1.2393,1.5272,1.1972,1.0031,1.1939
E01000062,2.3621,1.1445,1.9827,1.7368,1.8094
E01000063,2.5562,1.0082,1.1022,1.134,1.0519
E01000064,2.0517,1.2609,1.3382,1.4761,1.7041
E01000065,2.9228,0.1307,0.1307,0.1307,0.4371
E01000066,1.8867,1.8422,1.6925,1.8926,1.8826
E01000067,2.1629,1.567,1.6811,1.6081,1.5205
E01000068,2.0919,1.818,1.4082,1.5479,1.8317
E01000069,1.3702,1.7607,0.6165,0.4796,1.605
E01000070,1.8121,1.0608,1.8375,1.4698,1.151
E01000071,1.6015,2.329,1.2698,1.0599,2.1815
E01000072,1.0096,2.3501,1.4528,1.552,0.7821
E01000073,1.6882,1.9386,1.0853,1.3771,1.1918
E01000074,1.8145,2.1098,0.7673,0.8441,1.2265
E01000075,1.1964,2.1573,1.0869,1.0869,1.5473
E01000076,1.3168,2.4869,1.1837,1.1837,1.0332
E01000077,2.3576,1.7407,0.8591,1.0901,0.7214
E01000078,2.5596,1.7087,0.7211,1.3825,0.6611
E01000079,3.3638,1.835,1.1538,0.9468,1.9994
E01000080,2.5495,2.0128,1.128,1.2638,0.9898
E01000081,3.4775,1.4803,1.2434,0.99,1.4727
E01000082,2.8682,1.074,1.0044,1.074,0.8367
E01000083,2.2941,1.8536,1.1134,0.9649,0.7856
E01000084,3.7907,0.6338,0.8459,1.5194,1.3472
E01000085,3.8343,0.8727,1.0293,1.1372,0.8216
E01000086,3.6801,0.999,1.2227,1.4305,1.3789
E01000087,2.8789,1.3485,1.2365,0.9856,1.0785
E01000088,2.652,1.1072,1.2172,1.2508,1.1735
E01000089,3.1414,1.7788,1.3342,1.8572,2.0816
E01000090,2.3219,2.36,1.4295,1.7148,2.0487
E01000091,2.5063,1.1979,1.1979,0.8066,1.1979
E01000093,1.9998,0.9273,0.9273,0.8804,0.9273
E01000094,3.118,2.9317,2.9317,2.3703,2.5663
E01000095,2.9997,3.4673,3.0084,2.737,2.5515
E01000096,2.5391,3.1192,2.5874,2.5004,1.5486
E01000097,1.8202,1.3035,1.1685,1.9964,1.3095
E01000098,1.4156,0.841,1.1247,1.5971,0.8587
E01000099,2.0875,1.4178,0.9549,1.7226,1.4396
E01000100,2.5826,1.0593,1.033,0.8125,1.2914
E01000101,2.0885,0.6428,1.0889,1.462,1.0711
E01000102,2.5427,1.6798,1.4696,1.1026,1.0402
E01000103,1.4854,1.8553,2.0415,0.7372,1.4297
E01000104,1.5063,1.4354,1.9762,1.1109,1.0098
E01000105,3.8238,1.0073,1.0119,1.0566,0.9893
E01000106,2.99,1.9729,0.9777,0.9777,1.1062
E01000107,1.0354,1.8055,2.4518,0.8829,1.4245
E01000108,1.5769,0.8063,1.5837,0.9423,0.5957
E01000110,3.556,1.1357,1.2093,1.2093,1.0263
E01000111,2.9018,1.4241,1.5289,1.5289,1.109
E01000112,3.1353,0.8965,1.3454,1.3145,0.6684
E01000113,3.4003,0.8314,2.0491,1.9913,0.8314
E01000114,1.9949,1.1395,1.6572,1.8699,0.6993
E01000115,4.9226,0.8667,1.2558,1.8193,1.4193
E01000116,5.7281,1.0786,1.6819,2.5636,1.2066
E01000117,5.6602,2.2419,1.7198,3.2435,1.0666
E01000118,6.0494,1.7093,1.2135,3.1278,0.9774
E01000119,4.1516,1.1647,2.407,1.21,1.4407
E01000120,4.7955,0.8825,1.8989,1.5069,1.2122
E01000121,7.5179,2.6736,1.7703,2.7093,2.2156
E01000122,5.1602,1.8216,2.8393,2.5919,1.8869
E01000123,8.2914,3.3269,3.0221,2.352,2.8491
E01000124,6.2161,1.4957,2.3745,2.6233,1.32
E01000126,6.1921,1.8594,1.8531,2.5114,2.2551
E01000127,4.9162,1.1403,1.0478,1.5997,1.1291
E01000128,5.0421,1.3678,1.1554,1.441,1.2453
E01000129,4.1891,1.1067,0.8775,0.9158,0.5927
E01000130,5.2901,1.0021,0.9687,1.9714,1.4417
E01000131,4.8411,1.5802,1.6037,1.8207,1.1247
E01000132,4.4374,0.8433,0.8815,2.2546,0.7427
E01000133,5.3891,1.3076,1.3076,2.4966,1.5169
E01000134,3.709,1.0313,1.4189,1.6031,1.2973
E01000135,4.8671,1.2229,1.1582,1.5649,1.5622
E01000136,4.3434,1.0441,2.0149,1.9649,1.7549
E01000137,4.6661,0.9157,1.3882,1.4252,0.9326
E01000138,4.2751,1.0346,0.7408,0.6217,0.8464
E01000139,4.5889,0.9431,0.9785,0.9785,0.9069
E01000140,4.3386,0.6108,1.357,1.382,0.628
E01000141,3.6965,0.7134,0.9818,1.4585,0.6237
E01000142,5.0311,1.5013,1.7836,1.6758,1.5726
E01000143,4.6537,1.1421,1.5062,1.6371,1.1511
E01000144,4.7083,0.6623,0.9149,0.733,0.7155
E01000145,4.2125,0.932,1.0258,0.8513,1.0825
E01000146,4.8094,0.4904,1.0294,1.1084,1.0597
E01000147,3.4354,0.7312,0.8616,1.8688,0.891
E01000150,2.6128,1.4253,1.4991,1.1418,1.2584
E01000151,6.566,2.4594,2.3635,2.7959,1.7773
E01000152,6.8617,2.8634,1.2937,1.2937,2.5309
E01000153,6.8938,2.6275,1.8484,1.8576,2.8654
E01000154,5.7907,2.0984,2.6248,2.7451,1.0386
E01000156,2.5515,0.5714,0.6237,1.5089,0.6445
E01000157,2.7386,0.9667,0.9667,1.7319,1.1218
E01000158,5.626,1.0559,1.3794,2.4354,1.4744
E01000159,5.8888,1.7814,1.5866,2.4744,1.7716
E01000160,5.7653,1.338,1.9084,2.6679,1.7033
E01000161,4.791,0.7371,0.7676,1.6003,1.1951
E01000162,4.7186,0.6624,0.8607,1.5279,0.9357
E01000163,3.3801,1.4375,1.4375,1.56,1.6263
E01000164,3.1223,1.0778,1.0778,1.1593,1.2512
E01000165,4.261,1.6845,1.8249,1.0907,2.1219
E01000166,1.7446,2.0187,2.0496,2.3141,2.0663
E01000167,1.4346,1.7981,2.1589,2.2827,2.0791
E01000168,2.67,1.7282,1.7453,2.4916,1.7692
E01000169,1.8528,1.6232,1.5908,1.5908,1.5908
E01000170,2.7481,1.0242,0.8152,0.8152,0.7537
E01000171,2.4344,1.0202,0.8374,1.3272,0.9943
E01000172,3.8798,1.4724,1.366,2.0701,1.6524
E01000173,4.091,1.6551,2.0077,2.0077,1.2178
E01000174,3.6743,0.802,1.4,1.4,0.6284
E01000175,4.2623,1.4656,1.9795,1.988,1.206
E01000176,6.5535,1.8466,1.7233,2.1275,1.0748
E01000177,5.5119,1.2011,0.8379,1.6376,0.8407
E01000178,5.0741,0.9637,1.089,1.8703,0.8072
E01000179,6.3961,1.1256,1.3295,1.1256,1.3607
E01000180,4.6503,0.5461,1,1.9867,0.3943
E01000181,4.5685,0.506,1.0367,2.4489,0.6202
E01000182,4.4427,0.7998,0.6223,2.6757,0.5798
E01000183,5.7678,1.5594,1.1633,2.5745,0.9589
E01000184,6.2739,1.3639,1.0711,1.3639,1.9711
E01000185,5.8285,1.2949,0.9297,1.4267,1.3256
E01000186,3.3851,0.9274,0.9569,2.5795,0.9742
E01000187,4.2088,0.9473,1.7961,3.3983,0.9057
E01000188,3.9499,1.7803,1.9307,3.5381,1.5108
E01000189,2.1823,2.2665,2.3584,2.8164,1.4678
E01000190,1.8441,1.5232,2.1365,2.1913,1.7485
E01000191,2.8727,0.7771,0.8643,2.2925,0.9012
E01000192,2.7966,0.5585,0.6692,1.3075,0.5851
E01000193,2.0812,0.8883,1.1946,0.7711,0.5212
E01000194,2.103,0.6613,1.2837,0.5729,0.5761
E01000195,4.8764,1.5296,2.4637,3.9275,1.4472
E01000196,5.649,0.7654,0.7558,3.2645,0.5494
E01000197,6.2128,1.6494,0.7816,3.4306,1.363
E01000198,4.8454,1.7725,1.7468,1.8554,2.1259
E01000199,5.6214,0.9038,2.1263,2.7639,2.4299
E01000200,5.4666,1.4793,1.5438,2.7877,1.077
E01000201,4.3773,1.8067,1.6038,1.8913,1.6226
E01000202,4.6684,1.4205,0.8444,2.2839,0.6726
E01000203,4.6916,1.896,1.2909,2.3071,1.7295
E01000204,6.0479,0.6619,0.8654,3.6271,0.5983
E01000205,5.0002,1.395,1.3867,2.5057,1.2154
E01000206,4.866,2.2407,2.7602,2.9613,2.6432
E01000207,5.9838,1.0881,1.1602,2.706,1.0701
E01000208,4.9351,1.2495,1.1055,2.7051,1.1002
E01000209,5.1524,1.49,1.7265,1.848,1.1703
E01000210,5.7097,1.0535,0.9572,3.1377,0.883
E01000211,4.4498,0.5793,1.0534,1.0534,0.2408
E01000212,5.6633,1.5034,1.1721,1.1721,1.6457
E01000213,5.9767,1.3925,1.4867,2.7938,1.5435
E01000214,5.2152,1.1522,1.1825,1.1816,1.7543
E01000215,3.408,1.1331,1.2316,1.4122,0.8879
E01000216,4.7754,0.8471,1.1985,1.1985,0.6584
E01000217,4.3519,1.2551,1.4375,1.4375,0.8428
E01000218,3.6604,0.9081,0.9521,1.2082,0.6892
E01000219,3.1689,1.3769,1.3063,1.6086,1.1685
E01000220,3.5123,0.6967,0.7395,0.931,0.732
E01000221,3.6459,3.0048,2.6657,3.2519,2.7028
E01000222,3.9581,2.0203,0.6739,1.5801,1.0152
E01000223,4.3083,1.7972,1.6429,2.2792,1.6052
E01000224,4.4345,2.137,0.9688,1.8913,0.7446
E01000225,4.1197,1.3786,2.0133,1.822,1.4053
E01000226,3.6489,0.8664,1.3844,1.9299,1.253
E01000227,4.2263,1.3037,0.6656,2.5111,0.9831
E01000228,4.9227,1.4781,2.5631,2.6254,1.4781
E01000229,4.4054,1.4702,1.9286,3.0196,1.3745
E01000230,3.9588,0.9689,1.5461,2.8937,0.8884
E01000231,4.358,1.0343,1.9453,2.1816,1.0343
E01000232,4.2757,1.2266,1.1227,2.4158,0.9457
E01000233,4.479,1.4001,0.704,2.6541,0.8243
E01000234,5.2305,1.7279,1.1075,2.5395,1.22
E01000235,4.9727,1.4713,1.5929,2.5326,1.0292
E01000236,3.6666,0.7387,1.5849,0.9372,1.0177
E01000237,3.5305,0.7568,1.295,1.4729,0.7126
E01000238,4.1643,1.0552,1.1612,0.7021,1.2265
E01000239,3.4871,1.5341,1.5314,2.1918,1.4352
E01000240,4.4872,1.8152,2.1304,1.9546,2.2107
E01000241,4.955,2.1282,1.3013,0.8623,1.8426
E01000242,4.8149,1.8484,1.6207,1.7581,1.6158
E01000243,4.2494,1.0817,1.1507,1.1194,0.7363
E01000244,3.8116,1.6571,1.6491,1.5597,0.9971
E01000245,3.8627,0.7444,1.1531,1.0717,0.4788
E01000246,4.2257,1.7888,1.8466,2.0018,1.8851
E01000247,3.7978,1.988,1.5594,2.3142,1.7431
E01000248,4.963,0.9498,1.5235,1.1107,0.9744
E01000249,6.1567,1.6854,2.2446,1.7426,1.8539
E01000250,5.162,0.6017,1.0505,0.9544,0.6793
E01000251,2.9607,1.0648,0.8208,1.5104,0.85
E01000252,3.7957,1.2439,1.3957,1.4471,1.5351
E01000253,7.5915,3.2907,4.1265,3.3151,3.0437
E01000254,5.1038,1.4907,2.2541,1.9849,1.4681
E01000255,7.7305,2.0683,3.5141,4.0962,1.9194
E01000256,5.6889,1.2715,2.7333,2.77,1.7724
E01000257,7.8482,1.7855,2.8881,4.9826,2.657
E01000258,5.1725,1.1582,1.1582,1.1582,0.9676
E01000259,7.5388,1.5276,1.5729,4.7758,1.3113
E01000260,5.6172,1.2181,2.5787,2.4995,2.0583
E01000261,6.373,2.4755,2.7741,2.7741,2.3022
E01000263,5.3196,1.5704,2.2081,2.2081,1.5004
E01000264,4.9527,0.6761,1.1936,1.2155,0.6708
E01000265,6.9217,2.3599,0.9535,3.5014,1.111
E01000266,6.9106,1.9981,1.803,2.6085,1.5596
E01000267,3.6063,0.4989,1.3273,1.3273,1.0598
E01000268,3.0515,0.9347,0.8268,1.3351,0.7649
E01000269,4.2933,1.3669,1.9261,1.197,0.9534
E01000270,3.3503,0.9504,1.3755,1.4765,1.2957
E01000271,4.7921,1.4231,2.2098,2.2726,1.688
E01000272,5.8339,1.6765,1.803,2.7393,1.8515
E01000273,6.0799,0.5656,1.1142,2.0445,0.9546
E01000274,6.7035,2.1353,1.2952,3.2232,0.9093
E01000275,8.2847,1.6756,1.823,1.7152,2.2393
E01000276,8.8526,2.4441,2.4885,2.709,2.6885
E01000277,7.4579,1.0079,1.2346,1.2346,1.002
E01000278,8.5462,2.4246,2.136,3.035,2.4742
E01000279,8.4593,3.157,3.6685,4.1054,3.1833
E01000280,7.4013,1.3861,2.0592,2.6912,1.2777
E01000281,6.1795,0.1364,0.3543,1.2838,0.4215
E01000282,6.1849,0.8642,1.5904,2.0863,1.2123
E01000283,8.2596,1.8675,2.0319,1.9982,2.1071
E01000284,6.9733,0.7629,0.7849,0.9284,1.2153
E01000285,6.6125,1.7026,2.5267,1.3205,1.4378
E01000286,7.1717,2.4303,3.0122,1.8587,1.2465
E01000287,6.9564,1.9492,2.8925,1.3246,1.1837
E01000288,4.8669,1.3344,1.3564,1.1879,1.2671
E01000289,5.0958,1.1289,1.1289,1.1289,1.5677
E01000290,7.692,3.0349,3.6793,2.3718,2.0207
E01000291,5.983,1.5938,1.9619,1.2816,2.2697
E01000292,5.5872,0.9135,1.403,0.6696,1.6713
E01000293,5.2657,1.1507,1.1507,1.1507,1.3134
E01000294,6.0046,1.1697,1.8546,1.1228,1.3852
E01000295,7.078,1.285,1.5069,2.832,0.955
E01000296,6.5943,0.6025,0.9692,3.2429,0.7878
E01000297,6.791,1.8423,1.3494,2.1185,0.581
E01000298,6.9201,0.6294,1.057,2.5903,0.8322
E01000299,6.5033,0.3982,0.5794,1.1128,0.5587
E01000300,7.2156,0.876,1.0105,1.4492,0.8595
E01000301,7.8249,1.5704,1.3439,2.4815,1.7263
E01000302,6.9608,0.6909,0.9837,1.8166,1.0903
E01000303,7.5287,1.635,1.7024,3.3662,1.9889
E01000304,6.9676,1.1641,1.7822,3.8823,1.518
E01000305,0.9698,0.7633,1.4558,1.2979,0.9617
E01000306,1.678,0.7838,1.4151,0.7204,1.1924
E01000307,2.1486,2.1593,1.7759,1.2525,1.5497
E01000308,1.8547,1.451,0.8776,0.3792,1.192
E01000309,2.5967,0.7777,1.2812,1.8863,1.1806
E01000310,2.7789,1.025,0.8031,1.6149,1.1065
E01000311,3.5709,1.251,1.7552,1.5737,1.3795
E01000312,2.6799,1.9765,1.7029,0.8621,1.7175
E01000313,1.5155,0.9322,0.8228,0.8107,1.0462
E01000314,2.6103,0.7479,0.8624,1.493,0.6951
E01000315,5.5319,1.3507,1.4939,2.0814,1.4062
E01000316,6.1401,1.615,0.753,1.6499,1.6505
E01000317,7.074,0.6778,1.2147,1.7514,1.3067
E01000318,6.4331,1.0141,1.1413,1.6863,1.3983
E01000319,6.3894,1.6759,0.9084,1.9389,1.1561
E01000320,7.1271,0.949,0.8873,0.9978,1.3078
E01000321,7.1662,0.6124,0.6289,0.7064,1.0608
E01000322,6.1583,1.0172,1.1379,1.1334,1.1326
E01000323,6.5547,0.4446,0.6686,0.9021,0.6558
E01000324,5.3614,0.7737,1.4953,1.695,1.1324
E01000325,4.5253,2.1425,1.8506,1.8506,1.0899
E01000326,3.4043,2.2634,2.8341,2.9271,1.4809
E01000327,5.2239,1.462,1.1589,0.8803,1.1666
E01000328,5.3377,2.6786,2.0325,2.0852,2.1833
E01000329,4.03,1.5448,0.8142,1.2364,1.7714
E01000330,4.5457,1.3697,1.3908,1.1351,1.5167
E01000331,4.437,2.1288,1.7473,1.8487,2.4134
E01000332,3.9266,1.089,1.2083,3.926,1.2935
E01000333,4.5503,2.0394,0.7236,3.6953,0.8748
E01000334,5.1528,2.4037,1.2237,3.0726,1.6751
E01000335,2.7322,2.9142,2.7098,3.4345,3.1476
E01000336,3.7401,0.7448,0.8193,3.9523,0.9818
E01000337,4.7481,1.6235,1.0984,3.9187,1.5472
E01000338,3.4476,0.6364,0.5267,3.6949,0.7724
E01000339,5.5353,0.7684,0.8797,3.749,0.8534
E01000340,3.3048,1.376,3.0277,3.4637,1.3465
E01000341,3.7967,1.6298,2.5722,3.0227,1.582
E01000342,4.0088,1.467,1.5773,2.5705,1.3448
E01000343,3.1266,0.7197,2.2089,1.9004,0.8312
E01000344,5.2143,0.837,0.9723,3.8583,0.7791
E01000345,4.6956,1.8837,1.688,2.946,1.8152
E01000346,2.1978,1.9084,3.0318,0.964,1.3083
E01000347,2.4957,1.101,2.3835,1.5531,1.0646
E01000348,2.0226,1.6144,2.8,2.4357,1.6144
E01000349,2.6818,1.878,1.8276,2.4279,1.8846
E01000350,2.8426,1.9176,2.7884,1.1049,1.2184
E01000351,1.8984,2.0059,3.4906,2.418,1.9661
E01000352,1.6879,1.3353,2.8667,2.077,1.247
E01000353,5.3921,1.2985,2.6304,3.017,1.1091
E01000354,4.5947,1.8749,2.4144,2.4603,1.5924
E01000355,5.458,1.1725,2.8858,2.8071,1.2568
E01000356,3.4993,0.972,2.2399,2.3738,0.878
E01000357,3.6268,1.5684,2.547,2.4965,1.255
E01000358,3.8915,1.0929,2.1914,1.9683,0.8114
E01000359,4.6092,2.2953,2.0252,2.0252,1.1182
E01000360,2.7717,0.9252,1.0265,0.7249,0.7816
E01000361,1.9521,0.9594,0.9638,1.2519,1.1699
E01000362,3.5498,1.3238,0.8395,1.0043,1.4097
E01000363,2.3239,1.7877,1.7921,1.6991,1.7943
E01000364,3.6578,2.3006,1.743,1.9601,2.3928
E01000365,4.0433,1.432,1.832,1.5145,1.4348
E01000366,3.2722,1.0967,1.4426,1.597,0.5385
E01000367,2.4853,1.7961,1.9125,1.2859,1.2472
E01000368,3.2478,2.1069,2.7092,2.068,1.5658
E01000369,3.7567,1.8431,1.8878,1.9239,1.4278
E01000370,4.2929,0.9628,2.0684,2.1424,1.0579
E01000371,3.3698,1.8604,2.5209,2.6387,1.5001
E01000372,2.5159,1.7122,1.4694,0.8264,0.8572
E01000373,1.9839,1.3936,1.717,1.6581,1.8713
E01000374,2.0433,2.1865,2.9324,2.836,2.2055
E01000375,3.7843,1.8218,1.5313,1.5885,1.6161
E01000376,2.6409,1.6681,2.3015,2.1007,2.2086
E01000377,3.4259,1.2366,2.043,1.7304,2.5668
E01000379,4.8196,2.1908,1.6738,1.6982,1.5218
E01000380,3.0859,1.9856,2.5125,2.7906,1.191
E01000381,5.5845,4.0399,3.9594,4.4248,3.9394
E01000382,4.8185,2.2044,2.2044,2.4043,2.3073
E01000383,1.809,3.2537,4.0263,4.6741,2.5162
E01000384,2.9946,1.1321,1.7835,1.9672,1.0212
E01000385,2.0058,2.9992,3.6485,3.7199,1.4716
E01000386,1.6298,2.4287,2.9605,2.8674,0.9685
E01000387,5.0111,3.3707,3.3004,3.4668,3.2868
E01000388,2.9982,1.0824,1.2891,1.787,1.1535
E01000389,1.7999,1.0413,1.1974,1.2238,1.489
E01000390,0.7774,1.8748,2.291,2.3261,1.9684
E01000391,3.8762,2.0107,1.0595,2.9829,1.8277
E01000392,3.1056,0.5615,1.1659,1.1147,0.5888
E01000393,2.3464,1.2802,1.4714,1.4134,1.4927
E01000394,2.3964,0.865,1.3895,1.4939,1.2912
E01000395,5.4658,1.4308,1.3441,3.1339,1.1336
E01000396,5.5509,1.516,1.4292,3.2191,1.4372
E01000398,5.8082,1.909,1.8223,2.4895,1.6035
E01000399,5.0761,1.0709,1.0126,2.5569,0.9305
E01000400,4.7313,1.4214,1.448,2.0608,1.5033
E01000401,4.272,1.0586,1.0383,1.0231,0.9943
E01000402,3.7159,1.5806,1.625,3.3236,1.5367
E01000403,0.9472,1.7003,1.1949,0.78,1.3316
E01000404,0.5704,2.2102,1.9063,1.5124,1.6454
E01000405,2.49,2.9717,2.7345,2.6209,1.1614
E01000406,2.5673,2.5285,2.448,2.5236,0.8479
E01000407,2.3834,1.5301,1.1089,1.0368,1.4142
E01000408,2.0906,2.9288,2.7244,3.0043,2.9586
E01000409,4.1333,1.9929,1.5057,2.8242,2.042
E01000410,5.3945,0.866,1.7586,3.7148,0.866
E01000411,4.5193,1.7116,1.4813,3.7274,1.539
E01000412,4.1705,1.987,2.3491,4.0551,1.987
E01000413,2.8729,1.3802,2.3099,2.8698,1.1542
E01000414,3.8863,0.8625,1.1485,1.5545,0.8567
E01000415,4.7252,1.4466,1.4484,2.9484,1.4066
E01000416,1.7852,1.4497,1.4497,1.4497,2.0062
E01000417,3.6145,2.0068,1.6181,2.2533,2.0276
E01000418,3.2415,2.3382,2.2696,2.906,1.6853
E01000419,4.5037,1.7422,2.1885,1.9821,1.3519
E01000420,5.2564,2.8616,1.9287,2.4642,1.8133
E01000421,5.6706,3.0659,1.6154,1.6154,1.5087
E01000422,1.5154,1.3003,1.3003,1.3003,1.2027
E01000423,3.5176,1.3563,1.1787,3.7756,1.2746
E01000424,4.9937,1.2522,1.0682,1.9274,1.0385
E01000425,4.2881,2.1482,1.9852,3.2863,1.426
E01000426,4.5476,2.1929,2.1617,2.7441,0.9194
E01000427,4.7119,1.8601,2.0788,2.105,1.3651
E01000428,3.5473,1.4241,1.4486,1.6781,1.3574
E01000429,1.2117,2.1686,1.5352,1.5352,2.21
E01000430,1.1664,2.895,1.9974,2.2615,2.2252
E01000431,1.6829,0.6125,1.4319,1.4319,1.4393
E01000433,2.2932,0.9195,1.7122,2.0263,1.2133
E01000434,2.5528,3.0047,1.21,3.4666,1.3593
E01000435,3.0088,1.8679,1.9863,2.2896,1.2473
E01000436,5.7723,2.9766,1.6719,2.6536,1.0078
E01000437,4.7746,2.3835,2.7559,3.0651,2.007
E01000438,3.1334,0.91,1.2571,1.4235,1.0004
E01000439,3.0081,0.7836,1.0128,1.2284,0.667
E01000440,4.9911,2.0677,2.7348,3.0837,1.9228
E01000441,4.2996,1.5728,2.3738,2.5576,1.528
E01000442,4.6894,3.0495,2.4642,2.773,1.6232
E01000443,3.2394,3.0268,3.3439,2.0216,1.1416
E01000444,5.4796,1.7504,2.2175,2.3032,2.3376
E01000445,3.8418,2.8173,2.4244,1.9092,1.2373
E01000446,3.0446,2.515,3.1735,1.8347,1.7318
E01000447,3.5973,0.6058,0.6058,3.2766,0.3876
E01000448,4.2869,1.9251,1.5089,2.4009,1.418
E01000449,3.8058,1.1197,0.8402,3.3601,1.0688
E01000450,5.0155,0.8487,2.646,1.1176,1.7234
E01000451,5.7169,1.779,2.7919,2.0824,1.9229
E01000452,4.579,1.8033,2.7624,2.5768,1.0302
E01000453,4.5812,1.5426,1.9502,1.899,1.2089
E01000454,4.8857,0.9465,1.4367,1.3855,1.4056
E01000455,4.2949,1.1011,1.1136,1.0625,1.1136
E01000456,3.815,1.6535,1.8775,1.8263,1.4178
E01000457,3.9076,0.7396,0.8546,0.9691,0.7827
E01000458,5.0777,1.4549,1.4549,1.4978,1.778
E01000459,3.9863,0.5592,0.8948,1.0344,0.7812
E01000460,4.4085,1.619,1.9063,2.408,1.9499
E01000461,3.4883,2.2184,2.7188,2.5956,1.9816
E01000462,4.4589,0.4986,1.0116,1.9715,0.9917
E01000463,5.7629,1.4302,1.2345,3.3768,1.5152
E01000464,2.3538,2.3198,2.3198,2.3198,1.5439
E01000465,2.1819,2.1587,2.1587,2.1587,1.3404
E01000466,1.9938,2.0872,2.0872,2.0872,1.4358
E01000467,0.5745,3.5446,4.0157,4.0157,3.8752
E01000468,0.6367,4.1055,4.4017,4.4017,4.4361
E01000469,1.3164,3.3838,3.5914,3.5914,3.7144
E01000470,0.5989,0.8116,0.8116,0.8116,1.2459
E01000471,0.6419,1.5998,1.3534,3.6789,1.6996
E01000472,0.5038,1.2363,0.775,2.8709,1.2252
E01000473,1.0103,1.4192,0.7286,2.5723,0.6896
E01000474,1.9094,1.1503,0.928,2.1024,0.8774
E01000475,0.5168,1.4012,1.2854,2.4132,1.4247
E01000476,0.6306,2.2152,1.4837,3.2912,1.3187
E01000477,0.6693,2.2622,2.0678,3.1823,1.6591
E01000478,0.5396,1.6828,1.0127,3.0937,1.3445
E01000479,2.7868,1.8724,1.6417,2.053,1.5312
E01000480,3.4734,0.6953,1.5463,1.5463,1.5448
E01000481,2.9671,1.2081,1.1057,1.1057,1.0469
E01000483,1.9498,2.3088,0.8749,1.8896,2.0195
E01000484,6.1263,1.672,1.7458,1.845,2.1637
E01000485,6.1667,1.1505,0.7123,0.8312,1.7913
E01000486,4.8351,1.6052,1.4435,2.511,1.7663
E01000487,5.031,0.8568,1.1812,1.7018,1.1601
E01000488,4.5406,1.0995,1.2634,1.1038,1.0951
E01000489,4.5248,1.6354,1.5754,1.4777,1.2557
