KS301EW - Health and provision of unpaid care,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 12 May 2025],,,,,,,,,,,,
,,,,,,,,,,,,
population,All usual residents,,,,,,,,,,,
units,Persons,,,,,,,,,,,
date,2011,,,,,,,,,,,
rural urban,Total,,,,,,,,,,,
,,,,,,,,,,,,
2011 super output area - lower layer,All categories: Long-term health problem or disability,,Very good health,,Good health,,Fair health,,Bad health,,Very bad health,
,number,%,number,%,number,%,number,%,number,%,number,%
E01033011 : Leeds 111C,"1,373",100.0,799,58.2,482,35.1,73,5.3,17,1.2,2,0.1
E01033015 : Leeds 111D,"1,167",100.0,744,63.8,364,31.2,47,4.0,11,0.9,1,0.1
E01033016 : Leeds 111E,"1,017",100.0,638,62.7,321,31.6,44,4.3,9,0.9,5,0.5
E01011467 : Leeds 112A,"1,542",100.0,621,40.3,498,32.3,253,16.4,127,8.2,43,2.8
E01011468 : Leeds 112B,"1,500",100.0,519,34.6,542,36.1,271,18.1,126,8.4,42,2.8
E01011470 : Leeds 112C,"1,266",100.0,518,40.9,434,34.3,221,17.5,68,5.4,25,2.0
E01033018 : Leeds 112D,"1,137",100.0,702,61.7,388,34.1,41,3.6,4,0.4,2,0.2
E01033019 : Leeds 112E,"1,700",100.0,"1,041",61.2,581,34.2,64,3.8,14,0.8,0,0.0
,,,,,,,,,,,,
"In order to protect against disclosure of personal information, records have been swapped between different geographic areas. Some counts will be affected, particularly small counts at the lowest geographies.",,,,,,,,,,,,
