LSOA21CD,ah4dent,ah4gp,ah4hosp,ah4phar,ah4leis,ah4h
S01010832,6.6848,6.9125,5.0032,3.443,7.0065,1.0164
S01010833,7.0942,7.2557,9.6034,5.9431,6.7169,1.2183
S01010834,5.382,5.5434,7.7961,4.1359,5.0047,0.9944
S01010835,3.5842,3.7456,4.6097,1.2232,3.2068,0.3051
S01010836,2.6793,2.8408,4.9709,1.7742,2.302,0.2175
S01010837,3.2344,3.4706,3.8814,1.3581,3.0163,0.2572
S01010838,2.3441,2.5802,3.4504,2.0863,2.5251,0.1726
S01010839,1.8118,2.0106,3.4664,1.8445,2.455,-0.0172
S01010840,1.1706,1.4068,4.826,1.1706,1.8452,-0.4368
S01010841,0.8069,1.0431,4.4379,0.8069,1.5989,-0.8508
S01010842,0.5423,0.7161,4.2699,0.6402,1.24,-1.3038
S01010843,1.6141,1.8503,4.2169,0.4819,2.4061,-0.5364
S01010844,1.9284,2.1645,3.5825,1.2709,2.7203,-0.071
S01010845,2.6204,2.8565,2.8816,1.8501,3.4123,0.2372
S01010846,2.3825,2.6186,2.5405,2.3633,3.1576,0.2145
S01010847,3.6999,3.936,1.5472,3.2958,4.4919,0.4679
S01010848,5.6277,5.6635,4.0235,2.5075,5.9063,0.8153
S01010849,6.4834,6.5478,5.1568,1.2252,6.8852,0.6917
S01010850,6.0679,6.304,5.2424,1.6055,6.8599,0.7724
S01010851,6.0523,6.2884,5.2267,2.1798,6.8442,0.8694
S01010852,6.5087,6.3323,4.423,2.5769,6.4263,0.8929
S01010853,6.3089,6.1325,4.2233,2.6837,6.2266,0.8804
S01010854,4.428,4.2516,2.3424,2.3387,4.3456,0.5333
S01010855,4.77,4.5937,2.3336,2.6808,4.6877,0.6175
S01010856,4.2349,4.1122,1.3637,2.1191,4.1658,0.3305
S01010857,3.7011,3.5765,2.2445,1.6457,3.5643,0.2928
S01010858,4.2711,4.1465,2.8638,1.4901,4.1342,0.4112
S01010859,4.3987,4.4271,3.6476,1.3345,4.4148,0.4524
S01010860,3.0607,2.936,2.8887,1.8948,2.9238,0.2515
S01010861,2.283,2.1583,3.7095,1.8661,2.1461,0.0487
S01010862,3.6822,3.5576,4.2379,3.3733,3.5453,0.6202
S01010863,2.9362,2.9219,5.4067,1.9215,3.4463,0.3927
S01010864,2.5493,2.7854,4.4502,1.2656,3.3413,0.1641
S01010865,3.5267,3.7269,5.6969,2.1503,3.6497,0.5552
S01010866,3.5185,3.2794,6.7479,3.0805,2.9041,0.592
S01010867,2.858,3.1415,6.7324,2.6001,2.1635,0.4082
S01010868,2.0804,2.064,6.7111,2.0655,1.558,0.0563
S01010869,2.1863,1.8994,6.1296,2.0531,1.6237,0.0376
S01010870,2.0888,2.5397,7.2957,1.8889,1.3943,0.0736
S01010871,1.6294,1.7382,6.5765,1.6801,1.1123,-0.2212
S01010872,0.6901,1.1326,5.9687,1.0506,0.8867,-0.8822
S01010873,0.7389,1.0905,5.7231,0.6607,1.013,-1.02
S01010874,1.6126,1.2458,5.9213,1.6187,1.2159,-0.3415
S01010875,1.0612,0.564,5.4263,0.9437,1.1289,-0.9992
S01010876,1.2355,1.1483,5.2098,1.1023,0.6848,-0.7672
S01010877,1.5906,1.4996,5.565,1.4574,1.0205,-0.3749
S01010878,2.0332,1.778,3.784,1.1974,2.2429,-0.1775
S01010879,2.9212,2.7448,2.6677,0.9268,2.8112,-0.0562
S01010880,3.8355,3.5426,2.9419,1.9835,3.9904,0.4482
S01010881,2.5545,2.2933,3.1374,0.5822,2.5318,-0.3131
S01010882,3.4545,3.1616,5.7827,3.2095,3.8336,0.6333
S01010883,2.664,2.2687,5.2018,2.3079,3.0432,0.3161
S01010884,1.9625,1.5142,4.7718,1.5838,2.3417,-0.0916
S01010885,2.7203,1.4319,6.0102,1.2051,1.827,-0.1448
S01010886,2.3285,0.9646,5.5982,0.8441,2.1467,-0.4275
S01010887,1.7582,1.0782,5.6506,1.0871,2.2431,-0.3588
S01010888,1.1175,0.8101,4.8645,0.9114,1.5356,-0.7875
S01010889,0.6457,0.633,4.7914,0.5473,1.1715,-1.3448
S01010890,1.1495,1.3785,5.6536,1.0807,1.4615,-0.5121
S01010891,1.6559,1.855,6.5586,0.8734,0.8436,-0.5069
S01010892,2.0857,1.8565,6.5008,1.0229,1.271,-0.2726
S01010893,2.7178,1.6178,6.5186,1.2107,1.3671,-0.1629
S01010894,2.6825,2.6621,7.1579,1.3583,1.1433,-0.0096
S01010895,4.0385,3.8915,8.1042,1.2431,1.4922,0.2374
S01010896,4.4177,4.2307,8.594,1.5164,1.4676,0.3477
S01010897,4.1619,3.6768,7.8619,2.7181,2.5988,0.6206
S01010898,4.987,4.5019,8.687,3.5075,2.7711,0.7902
S01010899,5.632,5.1469,9.332,3.6271,2.3999,0.8155
S01010900,5.0463,4.9466,9.4832,2.4006,1.1734,0.5097
S01010901,4.5395,4.0545,8.2395,2.7673,2.2988,0.6381
S01010902,4.2877,4.2505,9.0897,1.5088,0.6769,0.138
S01010903,3.8422,3.8871,8.8437,1.3367,0.8994,0.1351
S01010904,3.7084,3.7533,8.9911,1.9741,1.1872,0.3292
S01010905,3.1583,3.2123,8.902,2.34,1.9385,0.4282
S01010906,2.4921,3.5874,9.8788,3.0947,2.7012,0.5773
S01010907,2.1223,2.4884,9.988,2.3437,2.5413,0.3477
S01010908,1.559,2.8894,10.7738,2.4168,2.6385,0.3345
S01010909,1.6307,2.7882,11.6268,2.3157,2.5374,0.33
S01010910,0.9362,2.1376,10.5408,1.6651,1.8868,-0.1159
S01010911,0.7494,1.2318,10.6261,0.5528,0.7747,-1.0092
S01010912,1.3557,1.3455,11.0001,1.1924,1.3899,-0.3297
S01010913,2.9803,3.4081,12.5916,2.9937,3.2154,0.6979
S01010914,4.0436,4.3706,15.056,4.3552,5.6798,1.0611
S01010915,3.7148,4.0418,16.6873,4.0264,7.3111,1.0834
S01010916,1.9603,1.6513,11.5725,1.797,1.9946,0.0893
S01010917,3.0098,2.6442,12.7078,2.4822,3.1298,0.58
S01010918,2.2278,1.6786,14.4907,1.3584,4.9127,0.31
S01010919,2.5721,2.023,14.0095,1.6459,4.4316,0.4414
S01010920,4.0234,3.6516,13.7568,3.5859,4.1789,0.9066
S01010921,4.7018,4.1526,16.0214,3.7756,6.4434,1.092
S01010922,2.6935,2.0679,14.7166,1.8826,5.1387,0.5458
S01010923,1.9507,1.4585,15.2988,1.7257,5.7208,0.3493
S01010924,2.814,2.1119,15.9939,2.4209,6.416,0.6974
S01010925,3.7236,3.0216,16.5048,3.3305,6.9268,0.9667
S01010926,3.7355,3.0335,15.7647,3.1184,6.1868,0.9226
S01010927,3.6228,3.0736,15.1511,2.6966,5.5732,0.8558
S01010928,4.0012,3.4521,15.5296,3.075,5.9517,0.9558
S01010929,4.348,3.7988,15.8763,3.4217,6.2984,1.0329
S01010930,6.8216,7.3793,11.1399,7.2844,7.8715,1.2954
S01010931,9.9788,10.1262,14.9911,9.9788,13.1847,1.6012
S01010932,4.4547,6.1053,7.7428,5.5934,10.2289,1.1383
S01010933,5.8401,7.3323,9.1114,6.9119,11.5976,1.2874
S01010934,0.936,1.9607,7.6746,1.9149,2.6483,-0.0651
S01010935,0.6851,1.6428,7.56,1.5341,1.8747,-0.3947
S01010936,0.575,1.2824,6.4184,0.3672,1.623,-1.1019
S01010937,1.3707,1.9451,7.1087,1.7028,2.3721,-0.029
S01010938,0.9849,1.6396,5.905,1.1481,1.3381,-0.4985
S01010939,1.5001,2.3438,6.5233,1.8322,1.0212,-0.1547
S01010940,2.4663,3.2275,7.5134,2.8224,1.6652,0.3518
S01010941,3.404,3.7369,7.9628,3.318,2.9202,0.6635
S01010942,3.1151,3.021,7.2005,2.6377,3.0266,0.5239
S01010943,1.7451,1.9965,6.176,1.6176,1.6421,-0.0862
S01010944,1.2865,1.5281,5.7075,1.1164,1.3147,-0.4575
S01010945,2.0773,1.1795,5.7349,1.4458,2.5351,-0.1435
S01010946,2.1125,1.6655,6.2209,1.9428,2.7064,0.1061
S01010947,2.9308,2.0691,6.5274,2.3464,3.4698,0.3895
S01010948,2.9409,1.6072,6.1626,1.8846,3.1687,0.2124
S01010949,3.1938,2.2361,5.5148,2.1375,3.4216,0.3743
S01010950,2.2639,1.4667,5.1326,1.1922,2.5208,-0.1316
S01010951,2.8628,2.1854,6.3648,1.7195,3.0905,0.2675
S01010952,2.7426,2.0707,6.2502,1.6918,2.9703,0.2227
S01010953,2.2453,2.2422,6.4217,1.8633,2.1568,0.1432
S01010954,5.039,4.0813,3.7003,3.9827,5.2668,0.807
S01010955,4.6787,3.721,6.3496,3.6225,5.0162,0.8345
S01010956,5.801,5.1874,5.8436,5.2041,7.3947,1.0437
S01010957,1.8099,0.7926,3.9229,0.7926,7.4153,-0.3749
S01010958,1.0056,1.5144,4.4265,1.5144,6.8921,-0.0784
S01010959,0.6744,1.8191,4.7895,1.8191,6.6632,-0.0916
S01010960,3.5063,3.7149,5.637,4.0334,6.3817,0.8176
S01010961,3.8325,4.0599,4.9592,4.5367,4.875,0.8077
S01010962,4.4943,3.8913,6.5474,4.3663,3.9963,0.8237
S01010963,3.106,2.4689,5.9226,2.956,3.1233,0.4729
S01010964,1.7026,1.1326,6.6977,1.825,3.1785,-0.0512
S01010965,1.8225,1.0676,6.8315,1.6198,3.4779,-0.0635
