LSOA21CD,ah4dent,ah4gp,ah4hosp,ah4phar,ah4leis,ah4h
E01000001,0.6328,1.0316,0.9581,0.7487,0.3596,-1.7834
E01000002,0.623,1.3232,1.137,0.6849,0.5571,-1.5523
E01000003,0.5709,0.8562,0.7862,0.5919,0.4608,-1.9813
E01000005,0.8337,1.1078,0.8697,0.6657,0.3717,-1.726
E01000006,1.9361,0.9587,1.5191,1.3641,1.5219,-0.6686
E01000007,1.0807,0.484,0.4713,1.0041,1.278,-1.6781
E01000008,2.1505,1.3022,1.6737,2.2334,2.4067,-0.2215
E01000009,1.3521,0.6974,0.9742,0.8524,1.0101,-1.3252
E01000011,1.3795,1.3196,1.2665,1.3795,1.7701,-0.6711
E01000012,1.0314,0.8311,0.8311,1.0314,2.0626,-1.137
E01000013,1.1811,1.2845,1.4606,1.1085,2.979,-0.6235
E01000014,2.1224,1.1151,1.2574,2.0499,3.141,-0.3224
E01000015,1.8146,1.2976,1.8538,1.5476,2.5863,-0.3437
E01000016,1.603,1.21,1.147,1.6003,2.4256,-0.5544
E01000017,1.5335,0.9724,0.8576,1.6859,2.4861,-0.7231
E01000018,1.7269,1.22,1.3765,1.2883,2.4815,-0.5405
E01000019,1.0727,1.2429,1.3594,1.11,1.3271,-0.8956
E01000020,1.4422,1.4173,0.8885,0.8908,1.641,-0.9308
E01000021,1.2272,1.2676,1.0101,1.2676,1.0383,-0.9627
E01000022,1.2531,1.2935,1.0385,0.9147,1.098,-1.0425
E01000024,0.9137,0.9541,1.3881,0.7476,1.2969,-1.1879
E01000025,0.9891,1.0295,1.6472,1.0295,1.6521,-0.8998
E01000027,1.4487,1.9504,1.4487,1.4487,4.0641,-0.2591
E01000028,1.3175,1.7959,1.3175,1.3175,4.2605,-0.3639
E01000029,1.3802,1.7317,1.3802,1.7394,3.3179,-0.3113
E01000030,0.9988,1.1166,0.9588,0.9988,3.2806,-0.8757
E01000031,0.555,1.2529,0.7871,0.9564,2.6271,-1.1931
E01000032,0.7552,1.6379,1.2886,0.7463,2.5399,-0.9217
E01000033,2.4792,1.1617,1.5931,2.0182,1.9679,-0.3197
E01000034,3.2375,1.4521,2.2133,2.8307,3.1002,0.1302
E01000035,1.6223,1.4469,1.0803,1.3727,1.4783,-0.6902
E01000036,1.1919,1.0504,0.8189,0.9817,2.0367,-1.0314
E01000037,2.4871,1.3368,1.3368,2.3069,3.3584,-0.1428
E01000038,1.1387,1.1198,1.6173,0.9589,2.0101,-0.808
E01000039,3.5531,2.054,2.054,3.3729,4.4245,0.3668
E01000040,2.5455,1.1272,1.8536,0.7735,2.3398,-0.5766
E01000041,2.4843,1.9,1.8869,1.5769,2.1257,-0.1764
E01000042,3.3923,1.3623,1.0621,1.6761,3.1865,-0.2485
E01000043,2.8185,1.2694,2.2564,1.1195,2.6128,-0.2894
E01000044,2.2346,1.2452,1.9659,0.8593,2.0289,-0.5585
E01000045,2.9048,2.2685,2.2073,0.8997,2.2486,-0.2268
E01000046,2.2013,1.6286,1.5073,1.7018,1.8984,-0.32
E01000049,1.7774,1.2834,1.5229,1.7708,1.732,-0.4688
E01000050,1.2374,0.7028,0.9687,1.0705,1.0317,-1.258
E01000051,1.27,1.0922,1.0013,1.1031,1.0643,-1.0486
E01000052,1.5117,0.2322,1.243,1.1878,1.306,-1.2708
E01000053,1.9177,2.0107,1.1358,1.1471,1.3835,-0.6028
E01000054,1.5641,0.8544,1.591,1.1685,1.1685,-0.8824
E01000055,1.7817,1.1907,1.1959,1.4649,1.4649,-0.6748
E01000056,2.0641,1.3402,1.7757,1.6195,1.0227,-0.5298
E01000057,1.4524,1.0138,0.9914,1.1495,1.1495,-1.0016
E01000058,1.6448,0.9514,1.9138,1.3037,1.3037,-0.7099
E01000059,1.5041,0.975,2.1888,1.6771,1.4151,-0.583
E01000060,1.2078,1.7801,1.7486,1.6231,1.5266,-0.4988
E01000061,1.5272,1.1972,1.0031,1.1939,1.2867,-0.8814
E01000062,1.1445,1.9827,1.7368,1.8094,1.9459,-0.3875
E01000063,1.0082,1.1022,1.134,1.0519,1.5516,-0.9953
E01000064,1.2609,1.3382,1.4761,1.7041,2.0416,-0.5365
E01000065,0.1307,0.1307,0.1307,0.4371,1.8936,-2.6676
E01000066,1.8422,1.6925,1.8926,1.8826,2.8802,-0.1538
E01000067,1.567,1.6811,1.6081,1.5205,2.8712,-0.3185
E01000068,1.818,1.4082,1.5479,1.8317,2.0163,-0.3746
E01000069,1.7607,0.6165,0.4796,1.605,3.001,-1.0462
E01000070,1.0608,1.8375,1.4698,1.151,2.5378,-0.5703
E01000071,2.329,1.2698,1.0599,2.1815,3.4606,-0.2634
E01000072,2.3501,1.4528,1.552,0.7821,1.0555,-0.7613
E01000073,1.9386,1.0853,1.3771,1.1918,0.9322,-0.8272
E01000074,2.1098,0.7673,0.8441,1.2265,1.3205,-1.0005
E01000075,2.1573,1.0869,1.0869,1.5473,1.7956,-0.6139
E01000076,2.4869,1.1837,1.1837,1.0332,1.3307,-0.7335
E01000077,1.7407,0.8591,1.0901,0.7214,2.0226,-1.01
E01000078,1.7087,0.7211,1.3825,0.6611,2.3813,-1.0004
E01000079,1.835,1.1538,0.9468,1.9994,3.2555,-0.4474
E01000080,2.0128,1.128,1.2638,0.9898,2.4174,-0.6508
E01000081,1.4803,1.2434,0.99,1.4727,2.943,-0.596
E01000082,1.074,1.0044,1.074,0.8367,2.1373,-1.0332
E01000083,1.8536,1.1134,0.9649,0.7856,2.0735,-0.9009
E01000084,0.6338,0.8459,1.5194,1.3472,2.2062,-0.9876
E01000085,0.8727,1.0293,1.1372,0.8216,2.1122,-1.0818
E01000086,0.999,1.2227,1.4305,1.3789,1.7749,-0.7582
E01000087,1.3485,1.2365,0.9856,1.0785,1.2257,-0.9627
E01000088,1.1072,1.2172,1.2508,1.1735,1.6774,-0.84
E01000089,1.7788,1.3342,1.8572,2.0816,1.9176,-0.3202
E01000090,2.36,1.4295,1.7148,2.0487,1.5989,-0.2888
E01000091,1.1979,1.1979,0.8066,1.1979,5.5673,-0.6738
E01000093,0.9273,0.9273,0.8804,0.9273,4.9672,-0.9297
E01000094,2.9317,2.9317,2.3703,2.5663,6.0769,0.4492
E01000095,3.4673,3.0084,2.737,2.5515,3.217,0.3899
E01000096,3.1192,2.5874,2.5004,1.5486,3.0327,0.1316
E01000097,1.3035,1.1685,1.9964,1.3095,1.7484,-0.6188
E01000098,0.841,1.1247,1.5971,0.8587,1.5003,-1.0267
E01000099,1.4178,0.9549,1.7226,1.4396,2.0343,-0.634
E01000100,1.0593,1.033,0.8125,1.2914,1.6071,-1.0392
E01000101,0.6428,1.0889,1.462,1.0711,1.0593,-1.1668
E01000102,1.6798,1.4696,1.1026,1.0402,2.3148,-0.6512
E01000103,1.8553,2.0415,0.7372,1.4297,3.0906,-0.4766
E01000104,1.4354,1.9762,1.1109,1.0098,2.7,-0.5745
E01000105,1.0073,1.0119,1.0566,0.9893,2.6739,-0.9313
E01000106,1.9729,0.9777,0.9777,1.1062,3.5293,-0.6547
E01000107,1.8055,2.4518,0.8829,1.4245,3.0934,-0.3663
E01000108,0.8063,1.5837,0.9423,0.5957,2.2474,-1.1353
E01000110,1.1357,1.2093,1.2093,1.0263,2.5268,-0.787
E01000111,1.4241,1.5289,1.5289,1.109,1.8726,-0.616
E01000112,0.8965,1.3454,1.3145,0.6684,2.1456,-1.0053
E01000113,0.8314,2.0491,1.9913,0.8314,2.2664,-0.6836
E01000114,1.1395,1.6572,1.8699,0.6993,0.9656,-0.9469
E01000115,0.8667,1.2558,1.8193,1.4193,1.4529,-0.7665
E01000116,1.0786,1.6819,2.5636,1.2066,1.2066,-0.6166
E01000117,2.2419,1.7198,3.2435,1.0666,1.1265,-0.403
E01000118,1.7093,1.2135,3.1278,0.9774,1.0793,-0.647
E01000119,1.1647,2.407,1.21,1.4407,1.585,-0.5666
E01000120,0.8825,1.8989,1.5069,1.2122,1.2122,-0.7825
E01000121,2.6736,1.7703,2.7093,2.2156,2.3176,0.0467
E01000122,1.8216,2.8393,2.5919,1.8869,1.8869,-0.0385
E01000123,3.3269,3.0221,2.352,2.8491,2.8884,0.3491
E01000124,1.4957,2.3745,2.6233,1.32,1.3872,-0.3425
E01000126,1.8594,1.8531,2.5114,2.2551,1.8849,-0.1071
E01000127,1.1403,1.0478,1.5997,1.1291,1.1657,-0.913
E01000128,1.3678,1.1554,1.441,1.2453,1.3558,-0.7818
E01000129,1.1067,0.8775,0.9158,0.5927,1.077,-1.4357
E01000130,1.0021,0.9687,1.9714,1.4417,1.003,-0.8801
E01000131,1.5802,1.6037,1.8207,1.1247,1.1836,-0.631
E01000132,0.8433,0.8815,2.2546,0.7427,1.4048,-1.0933
E01000133,1.3076,1.3076,2.4966,1.5169,1.4378,-0.5204
E01000134,1.0313,1.4189,1.6031,1.2973,2.1267,-0.6382
E01000135,1.2229,1.1582,1.5649,1.5622,1.3939,-0.7037
E01000136,1.0441,2.0149,1.9649,1.7549,1.5744,-0.443
E01000137,0.9157,1.3882,1.4252,0.9326,1.8656,-0.8719
E01000138,1.0346,0.7408,0.6217,0.8464,1.4408,-1.4598
E01000139,0.9431,0.9785,0.9785,0.9069,1.432,-1.186
E01000140,0.6108,1.357,1.382,0.628,1.5094,-1.2387
E01000141,0.7134,0.9818,1.4585,0.6237,0.9564,-1.4003
E01000142,1.5013,1.7836,1.6758,1.5726,1.9492,-0.3921
E01000143,1.1421,1.5062,1.6371,1.1511,1.59,-0.6952
E01000144,0.6623,0.9149,0.733,0.7155,0.8325,-1.6746
E01000145,0.932,1.0258,0.8513,1.0825,1.101,-1.2232
E01000146,0.4904,1.0294,1.1084,1.0597,0.6932,-1.5035
E01000147,0.7312,0.8616,1.8688,0.891,1.1025,-1.1943
E01000150,1.4253,1.4991,1.1418,1.2584,0.9122,-0.8568
E01000151,2.4594,2.3635,2.7959,1.7773,1.7971,-0.0203
E01000152,2.8634,1.2937,1.2937,2.5309,1.4055,-0.3276
E01000153,2.6275,1.8484,1.8576,2.8654,2.123,0.0087
E01000154,2.0984,2.6248,2.7451,1.0386,1.6245,-0.2502
E01000156,0.5714,0.6237,1.5089,0.6445,1.7267,-1.488
E01000157,0.9667,0.9667,1.7319,1.1218,1.9332,-0.8465
E01000158,1.0559,1.3794,2.4354,1.4744,1.7305,-0.5394
E01000159,1.7814,1.5866,2.4744,1.7716,2.0796,-0.2211
E01000160,1.338,1.9084,2.6679,1.7033,1.9024,-0.2679
E01000161,0.7371,0.7676,1.6003,1.1951,1.79,-1.05
E01000162,0.6624,0.8607,1.5279,0.9357,2.1756,-1.0966
E01000163,1.4375,1.4375,1.56,1.6263,2.5747,-0.4097
E01000164,1.0778,1.0778,1.1593,1.2512,2.269,-0.8182
E01000165,1.6845,1.8249,1.0907,2.1219,3.2992,-0.2505
E01000166,2.0187,2.0496,2.3141,2.0663,1.6202,-0.1361
E01000167,1.7981,2.1589,2.2827,2.0791,0.8285,-0.3317
E01000168,1.7282,1.7453,2.4916,1.7692,1.6011,-0.2656
E01000169,1.6232,1.5908,1.5908,1.5908,1.3239,-0.5135
E01000170,1.0242,0.8152,0.8152,0.7537,1.1209,-1.4288
E01000171,1.0202,0.8374,1.3272,0.9943,1.1232,-1.1451
E01000172,1.4724,1.366,2.0701,1.6524,1.581,-0.4623
E01000173,1.6551,2.0077,2.0077,1.2178,1.1076,-0.5121
E01000174,0.802,1.4,1.4,0.6284,0.6197,-1.3722
E01000175,1.4656,1.9795,1.988,1.206,1.0009,-0.586
E01000176,1.8466,1.7233,2.1275,1.0748,1.2233,-0.5284
E01000177,1.2011,0.8379,1.6376,0.8407,0.7334,-1.2155
E01000178,0.9637,1.089,1.8703,0.8072,0.7393,-1.1638
E01000179,1.1256,1.3295,1.1256,1.3607,1.0856,-0.8985
E01000180,0.5461,1,1.9867,0.3943,0.3943,-1.8122
E01000181,0.506,1.0367,2.4489,0.6202,0.5556,-1.5384
E01000182,0.7998,0.6223,2.6757,0.5798,0.7132,-1.4941
E01000183,1.5594,1.1633,2.5745,0.9589,1.3532,-0.6785
E01000184,1.3639,1.0711,1.3639,1.9711,1.6722,-0.6173
E01000185,1.2949,0.9297,1.4267,1.3256,0.6766,-1.0529
E01000186,0.9274,0.9569,2.5795,0.9742,1.8277,-0.8284
E01000187,0.9473,1.7961,3.3983,0.9057,2.3699,-0.512
E01000188,1.7803,1.9307,3.5381,1.5108,2.6825,-0.0738
E01000189,2.2665,2.3584,2.8164,1.4678,2.5485,-0.0156
E01000190,1.5232,2.1365,2.1913,1.7485,2.2009,-0.1965
E01000191,0.7771,0.8643,2.2925,0.9012,1.7734,-0.9927
E01000192,0.5585,0.6692,1.3075,0.5851,0.8542,-1.7347
E01000193,0.8883,1.1946,0.7711,0.5212,0.6637,-1.6446
E01000194,0.6613,1.2837,0.5729,0.5761,1.0565,-1.6697
E01000195,1.5296,2.4637,3.9275,1.4472,2.8104,-0.0328
E01000196,0.7654,0.7558,3.2645,0.5494,1.0968,-1.2869
E01000197,1.6494,0.7816,3.4306,1.363,1.5117,-0.5991
E01000198,1.7725,1.7468,1.8554,2.1259,2.0933,-0.2059
E01000199,0.9038,2.1263,2.7639,2.4299,2.2508,-0.1981
E01000200,1.4793,1.5438,2.7877,1.077,1.2636,-0.5555
E01000201,1.8067,1.6038,1.8913,1.6226,1.2768,-0.4345
E01000202,1.4205,0.8444,2.2839,0.6726,0.9391,-1.0834
E01000203,1.896,1.2909,2.3071,1.7295,0.9975,-0.4842
E01000204,0.6619,0.8654,3.6271,0.5983,1.4865,-1.1564
E01000205,1.395,1.3867,2.5057,1.2154,1.2023,-0.6035
E01000206,2.2407,2.7602,2.9613,2.6432,2.396,0.2054
E01000207,1.0881,1.1602,2.706,1.0701,1.0701,-0.7982
E01000208,1.2495,1.1055,2.7051,1.1002,1.2961,-0.7139
E01000209,1.49,1.7265,1.848,1.1703,1.1307,-0.6188
E01000210,1.0535,0.9572,3.1377,0.883,0.8423,-0.9851
E01000211,0.5793,1.0534,1.0534,0.2408,0.2643,-2.1152
E01000212,1.5034,1.1721,1.1721,1.6457,1.716,-0.6582
E01000213,1.3925,1.4867,2.7938,1.5435,1.5249,-0.4121
E01000214,1.1522,1.1825,1.1816,1.7543,1.5581,-0.7363
E01000215,1.1331,1.2316,1.4122,0.8879,1.5233,-0.9166
E01000216,0.8471,1.1985,1.1985,0.6584,0.7575,-1.3761
E01000217,1.2551,1.4375,1.4375,0.8428,0.8436,-1.0028
E01000218,0.9081,0.9521,1.2082,0.6892,1.3588,-1.2561
E01000219,1.3769,1.3063,1.6086,1.1685,1.6278,-0.6797
E01000220,0.6967,0.7395,0.931,0.732,1.0816,-1.5745
E01000221,3.0048,2.6657,3.2519,2.7028,1.3728,0.1544
E01000222,2.0203,0.6739,1.5801,1.0152,1.8408,-0.8418
E01000223,1.7972,1.6429,2.2792,1.6052,1.8428,-0.2909
E01000224,2.137,0.9688,1.8913,0.7446,2.29,-0.6937
E01000225,1.3786,2.0133,1.822,1.4053,1.2347,-0.5146
E01000226,0.8664,1.3844,1.9299,1.253,2.2454,-0.6513
E01000227,1.3037,0.6656,2.5111,0.9831,1.9009,-0.8599
E01000228,1.4781,2.5631,2.6254,1.4781,1.4781,-0.2698
E01000229,1.4702,1.9286,3.0196,1.3745,2.0577,-0.2639
E01000230,0.9689,1.5461,2.8937,0.8884,2.0053,-0.6336
E01000231,1.0343,1.9453,2.1816,1.0343,1.0343,-0.7201
E01000232,1.2266,1.1227,2.4158,0.9457,1.2055,-0.8132
E01000233,1.4001,0.704,2.6541,0.8243,1.5072,-0.9286
E01000234,1.7279,1.1075,2.5395,1.22,1.2269,-0.608
E01000235,1.4713,1.5929,2.5326,1.0292,1.4591,-0.5484
E01000236,0.7387,1.5849,0.9372,1.0177,1.3145,-1.0989
E01000237,0.7568,1.295,1.4729,0.7126,0.7559,-1.2947
E01000238,1.0552,1.1612,0.7021,1.2265,1.3207,-1.1233
E01000239,1.5341,1.5314,2.1918,1.4352,1.3842,-0.4793
E01000240,1.8152,2.1304,1.9546,2.2107,2.1899,-0.1023
E01000241,2.1282,1.3013,0.8623,1.8426,2.0598,-0.5436
E01000242,1.8484,1.6207,1.7581,1.6158,1.8176,-0.3564
E01000243,1.0817,1.1507,1.1194,0.7363,0.9675,-1.2216
E01000244,1.6571,1.6491,1.5597,0.9971,1.5072,-0.6331
E01000245,0.7444,1.1531,1.0717,0.4788,0.6162,-1.6519
E01000246,1.7888,1.8466,2.0018,1.8851,1.8487,-0.2369
E01000247,1.988,1.5594,2.3142,1.7431,1.7429,-0.2603
E01000248,0.9498,1.5235,1.1107,0.9744,1.352,-0.9736
E01000249,1.6854,2.2446,1.7426,1.8539,2.2449,-0.189
E01000250,0.6017,1.0505,0.9544,0.6793,0.8968,-1.5637
E01000251,1.0648,0.8208,1.5104,0.85,0.9058,-1.2189
E01000252,1.2439,1.3957,1.4471,1.5351,1.6728,-0.6185
E01000253,3.2907,4.1265,3.3151,3.0437,3.7006,0.574
E01000254,1.4907,2.2541,1.9849,1.4681,2.0907,-0.2856
E01000255,2.0683,3.5141,4.0962,1.9194,3.6304,0.316
E01000256,1.2715,2.7333,2.77,1.7724,2.6134,-0.0772
E01000257,1.7855,2.8881,4.9826,2.657,1.7179,0.155
E01000258,1.1582,1.1582,1.1582,0.9676,0.9676,-1.0805
E01000259,1.5276,1.5729,4.7758,1.3113,1.5392,-0.3265
E01000260,1.2181,2.5787,2.4995,2.0583,2.3661,-0.1072
E01000261,2.4755,2.7741,2.7741,2.3022,2.3121,0.1702
E01000263,1.5704,2.2081,2.2081,1.5004,1.5004,-0.3246
E01000264,0.6761,1.1936,1.2155,0.6708,0.7255,-1.4577
E01000265,2.3599,0.9535,3.5014,1.111,1.1112,-0.5654
E01000266,1.9981,1.803,2.6085,1.5596,1.4166,-0.2757
E01000267,0.4989,1.3273,1.3273,1.0598,1.2865,-1.1763
E01000268,0.9347,0.8268,1.3351,0.7649,0.9967,-1.3084
E01000269,1.3669,1.9261,1.197,0.9534,2.1076,-0.6604
E01000270,0.9504,1.3755,1.4765,1.2957,1.2955,-0.8256
E01000271,1.4231,2.2098,2.2726,1.688,2.0851,-0.2236
E01000272,1.6765,1.803,2.7393,1.8515,1.8636,-0.19
E01000273,0.5656,1.1142,2.0445,0.9546,1.0581,-1.1558
E01000274,2.1353,1.2952,3.2232,0.9093,0.8381,-0.6506
E01000275,1.6756,1.823,1.7152,2.2393,2.2894,-0.1921
E01000276,2.4441,2.4885,2.709,2.6885,2.7401,0.2215
E01000277,1.0079,1.2346,1.2346,1.002,1.1017,-1.0328
E01000278,2.4246,2.136,3.035,2.4742,2.4742,0.1488
E01000279,3.157,3.6685,4.1054,3.1833,3.6202,0.5793
E01000280,1.3861,2.0592,2.6912,1.2777,1.5847,-0.3792
E01000281,0.1364,0.3543,1.2838,0.4215,0.4819,-2.456
E01000282,0.8642,1.5904,2.0863,1.2123,1.265,-0.7422
E01000283,1.8675,2.0319,1.9982,2.1071,2.443,-0.0873
E01000284,0.7629,0.7849,0.9284,1.2153,1.2757,-1.2872
E01000285,1.7026,2.5267,1.3205,1.4378,2.6474,-0.277
E01000286,2.4303,3.0122,1.8587,1.2465,3.1329,-0.0348
E01000287,1.9492,2.8925,1.3246,1.1837,3.0212,-0.2314
E01000288,1.3344,1.3564,1.1879,1.2671,1.944,-0.6986
E01000289,1.1289,1.1289,1.1289,1.5677,1.9554,-0.7542
E01000290,3.0349,3.6793,2.3718,2.0207,3.723,0.3437
E01000291,1.5938,1.9619,1.2816,2.2697,2.1832,-0.2811
E01000292,0.9135,1.403,0.6696,1.6713,1.5293,-0.9789
E01000293,1.1507,1.1507,1.1507,1.3134,0.8632,-1.0088
E01000294,1.1697,1.8546,1.1228,1.3852,1.9753,-0.6234
E01000295,1.285,1.5069,2.832,0.955,2.2885,-0.4958
E01000296,0.6025,0.9692,3.2429,0.7878,2.0083,-0.9896
E01000297,1.8423,1.3494,2.1185,0.581,1.9913,-0.7203
E01000298,0.6294,1.057,2.5903,0.8322,1.9036,-0.9808
E01000299,0.3982,0.5794,1.1128,0.5587,0.4322,-2.1679
E01000300,0.876,1.0105,1.4492,0.8595,0.8608,-1.224
E01000301,1.5704,1.3439,2.4815,1.7263,1.9207,-0.3402
E01000302,0.6909,0.9837,1.8166,1.0903,1.0282,-1.116
E01000303,1.635,1.7024,3.3662,1.9889,2.6701,-0.0554
E01000304,1.1641,1.7822,3.8823,1.518,2.4063,-0.2371
E01000305,0.7633,1.4558,1.2979,0.9617,1.8141,-0.9435
E01000306,0.7838,1.4151,0.7204,1.1924,1.6222,-1.1014
E01000307,2.1593,1.7759,1.2525,1.5497,1.9327,-0.3839
E01000308,1.451,0.8776,0.3792,1.192,0.8459,-1.4503
E01000309,0.7777,1.2812,1.8863,1.1806,1.1339,-0.9157
E01000310,1.025,0.8031,1.6149,1.1065,0.7765,-1.1675
E01000311,1.251,1.7552,1.5737,1.3795,1.628,-0.562
E01000312,1.9765,1.7029,0.8621,1.7175,1.3714,-0.6021
E01000313,0.9322,0.8228,0.8107,1.0462,1.6773,-1.2302
E01000314,0.7479,0.8624,1.493,0.6951,0.7952,-1.4363
E01000315,1.3507,1.4939,2.0814,1.4062,1.8408,-0.4751
E01000316,1.615,0.753,1.6499,1.6505,1.5802,-0.7148
E01000317,0.6778,1.2147,1.7514,1.3067,1.2901,-0.9347
E01000318,1.0141,1.1413,1.6863,1.3983,1.1525,-0.833
E01000319,1.6759,0.9084,1.9389,1.1561,1.9425,-0.6588
E01000320,0.949,0.8873,0.9978,1.3078,1.3001,-1.1057
E01000321,0.6124,0.6289,0.7064,1.0608,1.0532,-1.6574
E01000322,1.0172,1.1379,1.1334,1.1326,1.3352,-0.9937
E01000323,0.4446,0.6686,0.9021,0.6558,0.6069,-1.9954
E01000324,0.7737,1.4953,1.695,1.1324,1.862,-0.7832
E01000325,2.1425,1.8506,1.8506,1.0899,3.5672,-0.2222
E01000326,2.2634,2.8341,2.9271,1.4809,2.8753,0.079
E01000327,1.462,1.1589,0.8803,1.1666,2.4499,-0.7966
E01000328,2.6786,2.0325,2.0852,2.1833,3.4311,0.1246
E01000329,1.5448,0.8142,1.2364,1.7714,1.4541,-0.7851
E01000330,1.3697,1.3908,1.1351,1.5167,1.5296,-0.6954
E01000331,2.1288,1.7473,1.8487,2.4134,2.2301,-0.101
E01000332,1.089,1.2083,3.926,1.2935,3.6354,-0.331
E01000333,2.0394,0.7236,3.6953,0.8748,4.4975,-0.4409
E01000334,2.4037,1.2237,3.0726,1.6751,5.0676,0.0272
E01000335,2.9142,2.7098,3.4345,3.1476,2.0368,0.2991
E01000336,0.7448,0.8193,3.9523,0.9818,3.231,-0.7299
E01000337,1.6235,1.0984,3.9187,1.5472,4.308,-0.1409
E01000338,0.6364,0.5267,3.6949,0.7724,2.9385,-1.0912
E01000339,0.7684,0.8797,3.749,0.8534,2.2647,-0.8462
E01000340,1.376,3.0277,3.4637,1.3465,2.5966,-0.0772
E01000341,1.6298,2.5722,3.0227,1.582,3.2043,0.0152
E01000342,1.467,1.5773,2.5705,1.3448,2.9544,-0.272
E01000343,0.7197,2.2089,1.9004,0.8312,3.4733,-0.6122
E01000344,0.837,0.9723,3.8583,0.7791,2.494,-0.7844
E01000345,1.8837,1.688,2.946,1.8152,2.5882,-0.0802
E01000346,1.9084,3.0318,0.964,1.3083,2.6609,-0.3321
E01000347,1.101,2.3835,1.5531,1.0646,3.5573,-0.4029
E01000348,1.6144,2.8,2.4357,1.6144,3.2111,-0.0036
E01000349,1.878,1.8276,2.4279,1.8846,2.2119,-0.1308
E01000350,1.9176,2.7884,1.1049,1.2184,2.42,-0.3549
E01000351,2.0059,3.4906,2.418,1.9661,3.1243,0.1724
E01000352,1.3353,2.8667,2.077,1.247,3.4481,-0.1652
E01000353,1.2985,2.6304,3.017,1.1091,3.3696,-0.1577
E01000354,1.8749,2.4144,2.4603,1.5924,3.2303,-0.0025
E01000355,1.1725,2.8858,2.8071,1.2568,3.7326,-0.1096
E01000356,0.972,2.2399,2.3738,0.878,2.1111,-0.557
E01000357,1.5684,2.547,2.4965,1.255,2.7521,-0.1611
E01000358,1.0929,2.1914,1.9683,0.8114,2.0096,-0.6169
E01000359,2.2953,2.0252,2.0252,1.1182,3.631,-0.1376
E01000360,0.9252,1.0265,0.7249,0.7816,0.7816,-1.5058
E01000361,0.9594,0.9638,1.2519,1.1699,0.9794,-1.1087
E01000362,1.3238,0.8395,1.0043,1.4097,0.934,-1.0819
E01000363,1.7877,1.7921,1.6991,1.7943,1.644,-0.335
E01000364,2.3006,1.743,1.9601,2.3928,1.8948,-0.1079
E01000365,1.432,1.832,1.5145,1.4348,1.5274,-0.5228
E01000366,1.0967,1.4426,1.597,0.5385,1.3058,-1.0678
E01000367,1.7961,1.9125,1.2859,1.2472,1.549,-0.5387
E01000368,2.1069,2.7092,2.068,1.5658,2.5829,-0.0445
E01000369,1.8431,1.8878,1.9239,1.4278,2.3797,-0.2601
E01000370,0.9628,2.0684,2.1424,1.0579,2.9375,-0.4498
E01000371,1.8604,2.5209,2.6387,1.5001,2.8408,-0.031
E01000372,1.7122,1.4694,0.8264,0.8572,1.113,-1.0081
E01000373,1.3936,1.717,1.6581,1.8713,1.3961,-0.4561
E01000374,2.1865,2.9324,2.836,2.2055,3.2223,0.2319
E01000375,1.8218,1.5313,1.5885,1.6161,1.5506,-0.4469
E01000376,1.6681,2.3015,2.1007,2.2086,2.6408,-0.0359
E01000377,1.2366,2.043,1.7304,2.5668,2.6828,-0.1651
E01000379,2.1908,1.6738,1.6982,1.5218,2.0552,-0.2965
E01000380,1.9856,2.5125,2.7906,1.191,2.5975,-0.1048
E01000381,4.0399,3.9594,4.4248,3.9394,4.121,0.7356
E01000382,2.2044,2.2044,2.4043,2.3073,2.4239,0.0563
E01000383,3.2537,4.0263,4.6741,2.5162,3.2717,0.5413
E01000384,1.1321,1.7835,1.9672,1.0212,1.5181,-0.6492
E01000385,2.9992,3.6485,3.7199,1.4716,2.544,0.2255
E01000386,2.4287,2.9605,2.8674,0.9685,2.0356,-0.1361
E01000387,3.3707,3.3004,3.4668,3.2868,3.4683,0.538
E01000388,1.0824,1.2891,1.787,1.1535,1.4744,-0.7598
E01000389,1.0413,1.1974,1.2238,1.489,1.1602,-0.8823
E01000390,1.8748,2.291,2.3261,1.9684,2.1816,-0.0641
E01000391,2.0107,1.0595,2.9829,1.8277,2.9185,-0.1814
E01000392,0.5615,1.1659,1.1147,0.5888,1.0606,-1.5089
E01000393,1.2802,1.4714,1.4134,1.4927,1.418,-0.6503
E01000394,0.865,1.3895,1.4939,1.2912,1.407,-0.8303
E01000395,1.4308,1.3441,3.1339,1.1336,2.6694,-0.3774
E01000396,1.516,1.4292,3.2191,1.4372,2.7546,-0.2423
E01000398,1.909,1.8223,2.4895,1.6035,3.0119,-0.092
E01000399,1.0709,1.0126,2.5569,0.9305,2.2797,-0.7243
E01000400,1.4214,1.448,2.0608,1.5033,1.9349,-0.4359
E01000401,1.0586,1.0383,1.0231,0.9943,1.6309,-1.0452
E01000402,1.5806,1.625,3.3236,1.5367,3.3629,-0.1072
E01000403,1.7003,1.1949,0.78,1.3316,0.8341,-1.0175
E01000404,2.2102,1.9063,1.5124,1.6454,1.6443,-0.3185
E01000405,2.9717,2.7345,2.6209,1.1614,2.552,-0.0009
E01000406,2.5285,2.448,2.5236,0.8479,2.5145,-0.2022
E01000407,1.5301,1.1089,1.0368,1.4142,2.1742,-0.7053
E01000408,2.9288,2.7244,3.0043,2.9586,2.7658,0.3432
E01000409,1.9929,1.5057,2.8242,2.042,2.3597,-0.0946
E01000410,0.866,1.7586,3.7148,0.866,3.2503,-0.4659
